,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,Alltricks,de,,Frog Bikes,Frog Bikes MTB 69 Kinder MTB Shimano Alivio / Acera 9S 26'' Schwarz / Grün 10 - 12 Jahre,new,MountainBikes,1,Versand voraussichtlich am Donnerstag,,https://www.alltricks.de/F-41503-kid-bikes/P-1940328-frog_bikes_mtb_69_kinder_mtb_shimano_alivio___acera_9s_26___schwarz___grun__10___12_jahre,724.99,840.00
1,Alltricks,de,2022,Santa Cruz,Refurbished Produkt - Mountainbike All-Suspension Santa Cruz Hightower R Sram NX Eagle 12V 29'' Schwarz Gloss 2022,used,MountainBikes,1,Versand voraussichtlich am Donnerstag,"Letztes Stück!
L / 175-185 cm",https://www.alltricks.de/F-11947-velos-complets-vtt/P-2472995-refurbished_produkt___mountainbike_all_suspension_santa_cruz_hightower_r_sram_nx_eagle_12v_29___schwarz_gloss_2022,3999.00,4499.00
2,Alltricks,de,2022,Santa Cruz,Mountainbike Full-Suspenduce Santa Cruz Hightower 3 S Sram GX Eagle 12V 29'' Grün Matt 2022,new,MountainBikes,1,Versand voraussichtlich am Donnerstag,"Letztes Stück!
S / 155-165 cm

Ausverkauft
M / 165-175 cm, L / 175-185 cm, Xl / 185-193 cm, Xxl / 193-201 cm",https://www.alltricks.de/F-11947-velos-complets-vtt/P-2413312-mountainbike_full_suspenduce_santa_cruz_hightower_3_s_sram_gx_eagle_12v_29___grun_matt_2022,6599.00,
3,Alltricks,de,,Commencal,Commencal Romanes 20 Sunrace 7S 20'' Kid's MTB Purple I 6 - 8 Jahre,new,MountainBikes,1,Versand voraussichtlich am Donnerstag,,https://www.alltricks.de/F-41503-kid-bikes/P-2239176-commencal_romanes_20_sunrace_7s_20___kid_s_mtb_purple__i_6___8_jahre,509.99,550.00
4,Alltricks,de,,Scamp,SCAMP Kinderfahrrad 14'' SmallFox 14 Fahrrad Blau,new,MountainBikes,1,Versand voraussichtlich am Donnerstag,,https://www.alltricks.de/F-41503-kid-bikes/P-1060835-scamp_kinderfahrrad_14___smallfox_14_fahrrad_blau,159.99,219.99
5,Alltricks,de,2020,BMC,Refurbished Produkt - BMC Agonist 02 Sram NX Eagle 12V Rot 2020,used,MountainBikes,1,Versand voraussichtlich am Donnerstag,"Letztes Stück!
M",https://www.alltricks.de/F-11947-velos-complets-vtt/P-2470539-refurbished_produkt___bmc_agonist_02_sram_nx_eagle_12v_rot_2020,2299.00,3499.00
6,Alltricks,de,2022,Mondraker,MONDRAKER FACTOR 26 2022 (SPE),new,MountainBikes,1,Versand voraussichtlich am Donnerstag,,https://www.alltricks.de/F-41503-kid-bikes/P-2317013-mondraker_factor_26_2022__spe,1699.99,1999.00
7,Alltricks,de,,GT,Mountainbike All-Suspendent GT Force Comp Shimano Deore 12V 29'' Rot,new,MountainBikes,1,Versand voraussichtlich am Donnerstag,"Letztes Stück!
S / 160-170 cm, M / 168-178 cm, L / 178-188 cm, Xl / 188-198 cm",https://www.alltricks.de/F-11947-velos-complets-vtt/P-2408209-mountainbike_all_suspendent_gt_force_comp_shimano_deore_12v_29___rot,3399.00,
8,Alltricks,de,2022,Commencal,Commencal Meta SX Essential Shimano SLX 12V 29/27.5'' Dunkelgrau 2022 &1= Mountainbike Full-Suspension Commencal Meta SX Essential Shimano SLX 12V 29/27.5'',new,MountainBikes,1,,"Ausverkauft
S / 158-170 cm, M / 168-180 cm, Xl / 188-210 cm

Auf lager
L / 178-190 cm",https://www.alltricks.de/F-11947-velos-complets-vtt/P-2491590-commencal_meta_sx_essential_shimano_slx_12v_29_27_5___dunkelgrau_2022__amp_1__mountainbike_full_suspension_commencal_meta_sx_essential_shimano_slx_12v_29_27_5,4299.00,
9,Alltricks,de,2022,BMC,BMC Fourstroke 01 Three Full Suspension MTB Shimano SLX 12S 29'' Carbon Brushed Grey 2022,new,MountainBikes,1,Versand voraussichtlich am Donnerstag,"Ausverkauft
M / 172-182 cm, L / 180-188 cm

Letztes Stück!
Xl / 188-198 cm",https://www.alltricks.de/F-11947-velos-complets-vtt/P-2037065-bmc_fourstroke_01_three_full_suspension_mtb_shimano_slx_12s_29___carbon_brushed_grey_2022,3799.99,5499.00
