,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,boc-store,de,,GHOST,"GHOST RIOT EN ESSENTIAL 29, 29 ZOLL, ALU, SRAM GX EAGLE, 12-G SHARK BLUE/BLACK - MATT",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"44 CM
49 CM",https://boc24.de/collections/mountainbikes/products/ghost-riot-en-essential-1,"2.799,00",
1,boc-store,de,,RAYMON,"RAYMON HARDRAY NINE 4.0, 29 ZOLL, ALU, SHIMANO DEORE, 20-G SPACEBLUE/BLACK MATT",new,mountainbikes,1,Lieferzeit 5-9 Werktage,48 CM,https://boc24.de/collections/mountainbikes/products/raymon-hardray-nine-4-0,"879,00",
2,boc-store,de,,GHOST,"GHOST RIOT TRAIL FULL PARTY, 29 ZOLL, ALU, SHIMANO XT, 12-GANG SILVER/PURPLE",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"44 CM
47 CM
49 CM",https://boc24.de/collections/mountainbikes/products/ghost-riot-trail-full-party,"3.299,99","3.699,00"
3,boc-store,de,,GHOST,"GHOST KATO FS ESSENTIAL 29, 29 ZOLL, ALU, SRAM GX EAGLE, 12-G BLACK/GREEN BAY METALLIC - MAT",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"42 CM
44 CM
47 CM",https://boc24.de/collections/mountainbikes/products/ghost-kato-fs-essential-29,"1.699,00",
4,boc-store,de,,GHOST,"GHOST LECTOR UNIVERSAL, 29 ZOLL, CARBON, X01 EAGLE, 12-GANG OLIVE",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"44 CM
49 CM",https://boc24.de/collections/mountainbikes/products/ghost-lector-universal,"2.499,99","2.999,00"
5,boc-store,de,,CUBE,"CUBE AIM 29, 29 ZOLL, ALU, SHIMANO TOURNEY, 16-G BLACK'N'BLUE",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"46 CM
51 CM
56 CM",https://boc24.de/collections/mountainbikes/products/cube-aim-30,"599,00",
6,boc-store,de,,CUBE,"CUBE AIM 29, 29 ZOLL, ALU, SHIMANO TOURNEY, 16-G MISTYGREEN'N'BLACK",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"46 CM
51 CM
56 CM",https://boc24.de/collections/mountainbikes/products/cube-aim-30,"599,00",
7,boc-store,de,,CANNONDALE,"CANNONDALE SCALPEL CRB SE 2, 29 ZOLL, CARBON, SHIMANO XT, 12-G MANGO",new,mountainbikes,1,Lieferzeit 5-7 Werktage,"44 CM
48 CM",https://boc24.de/collections/mountainbikes/products/cannondale-scalpel-crb-se-2,"4.899,00",
8,boc-store,de,,GHOST,"GHOST KATO FS 29, 29 ZOLL, ALU, SRAM SX EAGLE, 12-G LIGHT GREY PEARL/RIOT RED - MA",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"42 CM
44 CM
47 CM",https://boc24.de/collections/mountainbikes/products/ghost-kato-fs-29,"1.399,00",
9,boc-store,de,,GHOST,"GHOST LECTOR SF LC ESSENTIAL, 29 ZOLL, CARBON, SHIMANO SLX, 12-G RAW CARBON/BLUE - MATT/GLOSSY",new,mountainbikes,1,Lieferzeit 5-9 Werktage,"44 CM
47 CM
49 CM",https://boc24.de/collections/mountainbikes/products/ghost-lector-sf-lc-essential-1,"2.699,99","2.999,00"
