,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,buycycle,de,2022,Specialized,Stumpjumper EVO Comp | SRAM GX Eagle,Händler,Enduro,1,,L,https://buycycle.com/de/bike/stumpjumper-evo-comp-4,4599 ,5700
1,buycycle,de,2022,Cannondale,Scalpel Carbon 2 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/scalpel-carbon-2-44,4159 ,5799
2,buycycle,de,2018,Scott,Contessa 24 rigid | Other Shimano,new,Crosscountry,1,,XXS,https://buycycle.com/de/bike/contessa-24-rigid-3,350 ,699
3,buycycle,de,2020,Giant,XTC advanced 29 1.5 | Shimano Deore XT,new,Trail,1,,L,https://buycycle.com/de/bike/xtc-advanced-29-15,1900 ,3400
4,buycycle,de,2020,KTM,Macina chacana LFC 2020 | Shimano SLX,new,Crosscountry,1,,L,https://buycycle.com/de/bike/macina-chacana-lfc-2020,3100 ,4300
5,buycycle,de,2018,Steppenwolf,TYLER LTD | Other Shimano,Händler,Trail,1,,L,https://buycycle.com/de/bike/tyler-ltd,1099 ,1499
6,buycycle,de,2020,Ridley,Sablo - Shimano XT 1x12 | Shimano Deore XT,new,Crosscountry,1,,S,https://buycycle.com/de/bike/sablo-shimano-xt-1x12-1,3000 ,4499
7,buycycle,de,2020,Cannondale,Trail 6 | Shimano Acera,new,Crosscountry,1,,M,https://buycycle.com/de/bike/trail-6-9,510 ,650
8,buycycle,de,2020,Giant,Trance 29 1 | Shimano Deore XT,new,Crosscountry,1,,L,https://buycycle.com/de/bike/trance-29-1-363dce581f3812,2100 ,3799
9,buycycle,de,2022,Berria,MAKO 150 HYBRID HP 8 | SRAM GX,new,Trail,1,,M,https://buycycle.com/de/bike/mako-150-hybrid-hp-8,4700 ,6000
10,buycycle,de,2018,Giant,Anthem 29 1 | Shimano Deore XT,new,Crosscountry,1,,XL,https://buycycle.com/de/bike/anthem-29-1-5,2000 ,3825
11,buycycle,de,2021,Rocky Mountain,Altitude Powerplay Carbon 70 | Shimano Deore XT,Händler,Enduro,1,,M,https://buycycle.com/de/bike/altitude-powerplay-carbon-70-5,4500 ,8599
12,buycycle,de,2021,Santa Cruz,Nomad S / Carbon C / 27.5 | SRAM GX Eagle,Hot Deal,Enduro,1,,XL,https://buycycle.com/de/bike/nomad-s-carbon-c-275-23,3600 ,6049
13,buycycle,de,2020,CUBE,STEREO HYBRID 160 HPC SL 625 27.5 | SRAM NX Eagle,new,Enduro,1,,M,https://buycycle.com/de/bike/stereo-hybrid-160-hpc-sl-625-275-15,3250 ,4093
14,buycycle,de,2021,Ghost,NIRVANA TOUR Base | SRAM SX Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/nirvana-tour-base-5,1120 ,1399
15,buycycle,de,2020,Cannondale,Habit Carbon SE | SRAM GX Eagle,Hot Deal,Trail,1,,L,https://buycycle.com/de/bike/habit-carbon-se-4,2600 ,4499
16,buycycle,de,2005,Votec,NC1 | Shimano Deore,new,Crosscountry,1,,M,https://buycycle.com/de/bike/nc1-1,800 ,3500
17,buycycle,de,2017,GT,Pantera Expert | SRAM GX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/pantera-expert-2,1300 ,3000
18,buycycle,de,2018,Scott,Gambler 710 | Shimano Saint,new,Downhill,1,,L,https://buycycle.com/de/bike/gambler-710-9,2200 ,6799
