,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,decathlon,de,,ROCKRIDER,"Mountainbike ST 540 MTB 27,5 Zoll Damen grau/rosa",new,Mountainbike,1,,"S - 155-164CM: 9 verfügbar
M - 165-174CM: Momentan nicht lieferbar
L - 175-184CM: Momentan nicht lieferbar",https://www.decathlon.de/p/mountainbike-st-540-mtb-27-5-zoll-damen-grau-rosa/_/R-p-307942?mc=8553362&c=GRAU,"479,99",
1,decathlon,de,,MONTANA,MONTANA Mountainbike 26 Zoll ESCAPE,new,Mountainbike,1,,"38: Auf Lager
47: Auf Lager",https://www.decathlon.de/p/mp/montana/montana-mountainbike-26-zoll-escape/_/R-p-259b6942-0eca-4f77-bf73-e4dbcec9a1ba?mc=259b6942-0eca-4f77-bf73-e4dbcec9a1ba_c71&c=GRAU,"359,00",
2,decathlon,de,,ROCKRIDER,"E-Mountainbike E-ST 100 27,5 Zoll blau",new,Mountainbike,1,,"S - 150-164CM: Auf Lager
M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/e-mountainbike-e-st-100-27-5-zoll-blau/_/R-p-309736?mc=8560739&c=GRAU_BLAU,"1.099,00",
3,decathlon,de,,ROCKRIDER,"MTB Trekking 29"" Explore 540 blau/schwarz",new,Mountainbike,1,,"M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/mtb-trekking-29-explore-540-blau-schwarz/_/R-p-329414?mc=8607120&c=BLAU_T%C3%9CRKIS,"799,99",
4,decathlon,de,,MBM,MBM Mountainbike 29 Zoll LOOP DISC,new,Mountainbike,1,,"48: Auf Lager
38: Auf Lager
43: Auf Lager",https://www.decathlon.de/p/mp/mbm/mbm-mountainbike-29-zoll-loop-disc/_/R-p-64f0f16c-d87a-4f5a-8ed6-504e682556d0?mc=64f0f16c-d87a-4f5a-8ed6-504e682556d0_c1&c=SCHWARZ,"429,90",
5,decathlon,de,,ROCKRIDER,"E-Mountainbike E-ST 500 27,5 Zoll schwarz Mittelmotor",new,Mountainbike,1,,"S - 150-164CM: Auf Lager
M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/e-mountainbike-e-st-500-27-5-zoll-schwarz-mittelmotor/_/R-p-324286?mc=8654920&c=SCHWARZ,"1.749,00",
6,decathlon,de,,ROCKRIDER,MTB 29 Zoll Rockrider XC 120 SRAM NX Eagle,new,Mountainbike,1,,"S - 150-164CM: Auf Lager
M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/mtb-29-zoll-rockrider-xc-120-sram-nx-eagle/_/R-p-330101?mc=8616936,"1.199,00",
7,decathlon,de,,MBM,MBM Mountainbike 29 Zoll LOOP 24-Gang,new,Mountainbike,1,,"48: Auf Lager
48: Auf Lager
38: Auf Lager
38: Auf Lager
38: Auf Lager
43: Auf Lager
43: Auf Lager
43: Auf Lager",https://www.decathlon.de/p/mp/mbm/mbm-mountainbike-29-zoll-loop-24-gang/_/R-p-c286793f-2a55-488e-8a07-b3d37dde0794?mc=c286793f-2a55-488e-8a07-b3d37dde0794_c1&c=SCHWARZ,"429,90",
8,decathlon,de,,ROCKRIDER,Mountainbike Race 900S Gruppe GX Eagle und Laufräder Reynolds Carbon TR 289/309,new,Mountainbike,1,,"S - 150-164CM: Auf Lager
M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/mountainbike-race-900s-gruppe-gx-eagle-und-laufrader-reynolds-carbon-tr-289-309/_/R-p-332553?mc=8648070,"3.499,00",
9,decathlon,de,,CILO,"Blackrock CXM°04 Navy 41 cm 27,5 Zoll",new,Mountainbike,1,,41: Auf Lager,https://www.decathlon.de/p/mp/cilo/blackrock-cxm-04-navy-41-cm-27-5-zoll/_/R-p-c0254b8a-e8a3-4582-b1d2-862e4f8c74f2?mc=c0254b8a-e8a3-4582-b1d2-862e4f8c74f2_c8&c=BLAU,"2.599,00","3.599,00"
10,decathlon,de,,ROCKRIDER,"MTB ST 100 27,5 Zoll grau",new,Mountainbike,1,,"XS - 140-154CM: Momentan nicht lieferbar
S - 155-164CM: Auf Lager
M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/mtb-st-100-27-5-zoll/_/R-p-192872?mc=8400335&c=GRAU,"249,99","279,99"
11,decathlon,de,,NS BIKES,Eccentric Alu 29 - black,new,Mountainbike,1,,"S: Auf Lager
M: Auf Lager
L: Auf Lager",https://www.decathlon.de/p/mp/ns-bikes/eccentric-alu-29-black/_/R-p-d6d89fc7-38fe-4019-b8bd-ffb9adf5c029?mc=d6d89fc7-38fe-4019-b8bd-ffb9adf5c029_c1&c=SCHWARZ,"1.928,85","2.149,00"
12,decathlon,de,,ROCKRIDER,Trekking MTB Explore 520 Damen grün 29 Zoll,new,Mountainbike,1,,"S - 150-164CM: Auf Lager
M - 165-174CM: Auf Lager
L - 175-184CM: Auf Lager",https://www.decathlon.de/p/trekking-mtb-explore-520-damen-grun-29-zoll/_/R-p-325306?mc=8607256&c=GR%C3%9CN,"599,99",
13,decathlon,de,,ROCKRIDER,"MTB 27,5"" ST 530 MDB gelb",new,Mountainbike,1,,"S - 150-164CM: Momentan nicht lieferbar
M - 165-174CM: Momentan nicht lieferbar
L - 175-184CM: Auf Lager
XL - 185-200CM: Auf Lager",https://www.decathlon.de/p/mtb-27-5-st-530-mdb/_/R-p-341628?mc=8758516&c=GELB,"359,99","419,99"
