,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,fahrrad-sale,de,2023,Bulls-Bikes,Bulls Copperhead FSX 2 29 . 2023,new,Mountainbikes,1,Lieferzeit: ausverkauft,"S = 40 cm | Körpergrösse 162 - 172 cm
M = 44 cm | Körpergrösse 170 - 180 cm
L = 48 cm | Körpergrösse 175 - 185 cm
XL = 51 cm | Körpergrösse 185 - 195 cm",https://www.fahrrad-sale.de/Fahrrad/Mountainbikes/29er/bulls-copperhead-fsx-2-29-2023.html,"2.599,00","3.199,00"
1,fahrrad-sale,de,2022,Bulls-Bikes,Bulls Sharptail 2 Disc grau - 2022,new,Mountainbikes,1,Lieferzeit: 3 6 Tage / im Laden vorr tig,"41 cm | 160 - 170 cm (Bulls)
46 cm | ca. 170 - 180 cm (Bulls)
51 cm | 180 - 190 cm (Bulls)
56 cm | ab 190 cm (Bulls)",https://www.fahrrad-sale.de/Fahrrad/Mountainbikes/27-5-Zoll/Bulls-Sharptail-2-Disc-grau.html,"699,00","799,95"
2,fahrrad-sale,de,2022,KTM,KTM Maranello Light Disc wave . 2022,new,Trekking,1,Lieferzeit: ausverkauft,"46 cm | Körpergrösse 155 - 169 cm (Trekking)
51 cm | Körpergrösse 170 - 179 cm (Trekking)
56 cm | Körpergrösse 175 - 184 cm (Trekking)",https://www.fahrrad-sale.de/Fahrrad/Trekking/Damen/ktm-maranello-light-disc-wa-schwarz-2022.html,"1.699,00","1.899,00"
3,fahrrad-sale,de,2022,Bulls-Bikes,Bulls Tokee 20 lila - 2022,new,Kinder-Fahrraeder,1,Lieferzeit: 3 6 Tage / im Laden vorr tig,20 Zoll | Körpergrösse 120 - 130 cm,https://www.fahrrad-sale.de/Fahrrad/Kinder-Fahrraeder/Kinderrad-20-/Bulls-Tokee-20-lila.html,"449,00","549,95"
4,fahrrad-sale,de,2022,KTM,KTM Avenza 30 Disc Wave schwarz . 2022,new,Trekking,1,Lieferzeit: von ausverkauft bis 3 6 Tage / im Laden vorr tig,"46 cm | Körpergrösse 155 - 169 cm (Trekking)
51 cm | Körpergrösse 170 - 179 cm (Trekking)
56 cm | Körpergrösse 175 - 184 cm (Trekking)",https://www.fahrrad-sale.de/Fahrrad/Trekking/Damen/ktm-avenza-30-disc-wave-sw.html,"1.049,00","1.149,00"
5,fahrrad-sale,de,2023,Bulls-Bikes,Bulls Grinder 4 Herren . 2023,new,gravelbike,1,Lieferzeit: ausverkauft,"XS / 45cm = Köpergröße 160 - 170 cm
S / 47cm = Köpergröße 165 - 175 cm
M / 51 cm = Köpergröße 175 - 185 cm
L / 55 cm = Köpergröße 180 - 190 cm",https://www.fahrrad-sale.de/Fahrrad/gravelbike/bulls-grinder-4-herren-2023.html,"1.999,00",
6,fahrrad-sale,de,2022,Bulls-Bikes,Bulls Sharptail Street 2 29 blau - 2022,new,Mountainbikes,1,Lieferzeit: von ausverkauft bis 3 6 Tage / im Laden vorr tig,"41 cm | 160 - 170 cm (Bulls)
46 cm | ca. 170 - 180 cm (Bulls)
51 cm | 180 - 190 cm (Bulls)
56 cm | ab 190 cm (Bulls)",https://www.fahrrad-sale.de/Fahrrad/Mountainbikes/29er/Bulls-Sharptail-Street-2-29-blau.html,"649,00","749,95"
7,fahrrad-sale,de,2022,Bulls-Bikes,Bulls Zarena Street 1 weiss - 2022,new,Mountainbikes,1,Lieferzeit: 3 6 Tage / im Laden vorr tig,"37 cm | 150 - 160 cm (Bulls)
41 cm | 160 - 170 cm (Bulls)
46 cm | ca. 170 - 180 cm (Bulls)
51 cm | 180 - 190 cm (Bulls)",https://www.fahrrad-sale.de/Fahrrad/Mountainbikes/Damen-39/bulls-zarena-street-1-weiss-2022.html,"649,00","749,95"
8,fahrrad-sale,de,2023,Bulls-Bikes,Bulls Copperhead FSX 1 29 . 2023,new,Mountainbikes,1,Lieferzeit: ausverkauft,"S = 40 cm | Körpergrösse 162 - 172 cm
M = 44 cm | Körpergrösse 170 - 180 cm
L = 48 cm | Körpergrösse 175 - 185 cm
XL = 51 cm | Körpergrösse 185 - 195 cm",https://www.fahrrad-sale.de/Fahrrad/Mountainbikes/29er/bulls-copperhead-fsx-1-29-2023.html,"2.299,00","2.899,00"
9,fahrrad-sale,de,,Pegasus,Arcona Alu ND FG 24 Herren schwarz,new,ATB-Jugendraeder,1,Lieferzeit: 3 6 Tage / im Laden vorr tig,24 Zoll | Körpergrösse 140 - 150 cm,https://www.fahrrad-sale.de/Fahrrad/ATB-Jugendraeder/Kettenschaltung/arcona-alu-nd-fg-24-herren-schwarz.html,"349,95","399,95"
