,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,fatfit24,de,2022,Cube,Cube Reaction C:62 Race 2022 | flashgrey´n´red  ,new,eBike Hardtail,1,,"15""=38cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
17""=43cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
19""=48cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
21""=53cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
23""=58cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/hardtail-29er/cube-reaction-c-62-race-2022/200821,"2.199,00",
1,fatfit24,de,2023,Santa Cruz,Santa Cruz Tallboy 5 C S 2023 | Taupe  ,new,eBike Hardtail,1,,"M=41cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/crosscountry-race-fully-100mm/santa-cruz-tallboy-5-c-s-2023/229605,"6.499,00",
2,fatfit24,de,2022,Cube,Cube Reaction C:62 Race 2022 | green´n´flashgreen  ,new,eBike Hardtail,1,,"15""=38cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
17""=43cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
19""=48cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
21""=53cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
23""=58cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/hardtail-29er/cube-reaction-c-62-race-2022/200821,"2.199,00",
3,fatfit24,de,2023,Ghost,Ghost Kato Advanced 29  2023 | black/monarch orange - matt  ,new,eBike Hardtail,1,,"S=40cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
M=44cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
L | 29 Zoll: Auf Lager , Lieferzeit 1 - 2 Werktage
XL | 29 Zoll: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/hardtail-29er/ghost-kato-advanced-29-2023/201920,"849,00",
4,fatfit24,de,2023,Ghost,Ghost Kato Advanced 29  2023 | light grey / dark orange  ,new,eBike Hardtail,1,,"S=40cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
M=44cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
L | 29 Zoll: Auf Lager , Lieferzeit 1 - 2 Werktage
XL | 29 Zoll: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/hardtail-29er/ghost-kato-advanced-29-2023/201920,"849,00",
5,fatfit24,de,2022,Santa Cruz,Santa Cruz Hightower 2 CC 29 X01 AXS RSV 2022 | Melon  ,new,eBike Hardtail,1,,"S | 29 Zoll: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/fully/santa-cruz-hightower-2-cc-29-x01-axs-rsv-2022/209332,"9.999,00",
6,fatfit24,de,2022,Ghost,Ghost Riot Trail Essential 2022 | black/black - matt/glossy  ,new,eBike Hardtail,1,,"S=41,7 | 27,5: Auf Lager , Lieferzeit 1 - 2 Werktage
M=44,1cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
L=46,5 | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
XL=48,9 | 29: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/ghost-riot/ghost-riot-trail-essential-2022/202204,"2.999,00",
7,fatfit24,de,2022,Ghost,Ghost Riot Trail Essential 2022 | brown brilliant/black - matt/glossy  ,new,eBike Hardtail,1,,"S=41,7 | 27,5: Auf Lager , Lieferzeit 1 - 2 Werktage
M=44,1cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
L=46,5 | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
XL=48,9 | 29: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/ghost-riot/ghost-riot-trail-essential-2022/202204,"2.999,00",
8,fatfit24,de,2023,Ghost,Ghost Lanao 27.5 2023 | pearl light mint /pearl  ,new,eBike Hardtail,1,,"XS=36cm | 27,5: Auf Lager , Lieferzeit 1 - 2 Werktage
S=40cm | 27,5: Auf Lager , Lieferzeit 1 - 2 Werktage
M=44cm | 27,5: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/hardtail-650b/ghost-lanao-27.5-2023/202038,"599,00",
9,fatfit24,de,2021,Ghost,Ghost Riot Trail AL Essential 2021 | black  ,new,eBike Hardtail,1,,"S=42cm | 27,5: Auf Lager , Lieferzeit 1 - 2 Werktage
M=44cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
L=47cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage
XL=49cm | 29: Auf Lager , Lieferzeit 1 - 2 Werktage",https://www.fafit24.de/ghost-riot/ghost-riot-trail-al-essential-2021/191554,"2.599,00",
