,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,fit-store,de,2022,BMC,BMC Twostroke 01 ONE iri bru bru 2022,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-S | Lagernd, sofort lieferbar
RH-L | Zur Zeit nicht lieferbar
RH-M | Lagernd, sofort lieferbar
RH-XL | Lagernd, sofort lieferbar",https://www.fitstore24.com/de/bmc-twostroke-01-one-iri-bru-bru-2022,"4.999,00","5.499,00"
1,fit-store,de,2023,Scott,Scott Scale 910 2023,new,MTB Fully,1,"Lieferzeit: 10-15 Wochen
Versandkostenfrei","RH-L | 10-15 Wochen
RH-S | 5-9 Wochen
RH-M | 5-9 Wochen
RH-XL | 10-15 Wochen",https://www.fitstore24.com/de/scott-scale-910-2023,"3.999,00",
2,fit-store,de,2022,BH Bikes,BH Expert 5.0 red black 2022,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-S | Lagernd, sofort lieferbar
RH-XL | Zur Zeit nicht lieferbar
RH-M | Zur Zeit nicht lieferbar
RH-L | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/bh-expert-5-0-red-black-2022,"1.099,00","1.349,90"
3,fit-store,de,2022,Giant,Giant Talon 29 1-GE Black 2022,new,MTB Hardtail,1,"Lieferzeit: Zur Zeit nicht lieferbar
Versandkostenfrei","RH-L | Zur Zeit nicht lieferbar
RH-M | Zur Zeit nicht lieferbar
RH-XL | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/giant-talon-29-1-ge-black-2022,"949,00",
4,fit-store,de,,Raymon,Raymon SixRay 1.0 armor/magma matt RH 38 cm,new,MTB Hardtail,0,"Lagernd, sofort lieferbar
Versandkostenfrei",,https://www.fitstore24.com/de/raymon-sixray-1-0-armor-magma-matt-rh-38-cm,"429,00","529,00"
5,fit-store,de,,Santa Cruz,Santa Cruz Megatower 2 GX AXS Coil Matte Nickel 20...,new,MTB Fully,0,"Lieferzeit: 5-9 Wochen
Versandkostenfrei",,https://www.fitstore24.com/de/santa-cruz-megatower-2-gx-axs-coil-matte-nickel-20221,"7.999,00",
6,fit-store,de,2023,Scott,Scott Genius ST 900 Tuned 2023,new,MTB Fully,1,"Lieferzeit: 2-4 Wochen
Versandkostenfrei","RH-L | 2-4 Wochen
RH-M | 2-4 Wochen",https://www.fitstore24.com/de/scott-genius-st-900-tuned-2023,"10.999,00",
7,fit-store,de,2022,BMC,BMC Speedfox ONE ant gol gol 2022,new,MTB Fully,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-S | Lagernd, sofort lieferbar
RH-M | Lagernd, sofort lieferbar
RH-L | Lagernd, sofort lieferbar
RH-XL | Lagernd, sofort lieferbar",https://www.fitstore24.com/de/bmc-speedfox-one-ant-gol-gol-2022,"3.399,00","3.999,00"
8,fit-store,de,2022,CUBE,Cube Flying Circus galactic´n´black 2022,new,MTB Hardtail,0,"Lagernd, sofort lieferbar
Versandkostenfrei",,https://www.fitstore24.com/de/cube-flying-circus-galacticnblack-2022,"999,00",
9,fit-store,de,2023,Scott,Scott Genius ST 920 2023,new,MTB Fully,1,"Lieferzeit: 10-15 Wochen
Versandkostenfrei","RH-L | 10-15 Wochen
RH-S | 10-15 Wochen
RH-M | 10-15 Wochen
RH-XL | 10-15 Wochen",https://www.fitstore24.com/de/scott-genius-st-920-2023,"4.999,00",
10,fit-store,de,2023,Focus,Focus Jam 8.9 bluegreen 2023,new,MTB Fully,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-L | Lagernd, sofort lieferbar
RH-XL | Zur Zeit nicht lieferbar
RH-M | Zur Zeit nicht lieferbar
RH-S | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/focus-jam-8-9-bluegreen-2022,"4.799,00",
11,fit-store,de,2022,Scott,Scott Voltage YZ 0.1 Alloy/Black 2022,new,MTB Hardtail,0,"Lagernd, sofort lieferbar
Versandkostenfrei",,https://www.fitstore24.com/de/scott-voltage-yz-0-1-alloy-black-2022-rh-m,"1.399,00","1.599,00"
12,fit-store,de,2023,Scott,Scott Spark 900 Ultimate 2023,new,MTB Fully,1,"Lieferzeit: 7-10 Werktage
Versandkostenfrei","RH-M | Zur Zeit nicht lieferbar
RH-L | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/scott-spark-900-ultimate-2023,"13.999,00",
13,fit-store,de,2022,Santa Cruz,Santa Cruz Megatower 2 GX AXS Air Trans Blue 2022,new,MTB Fully,0,"Lieferzeit: 5-9 Wochen
Versandkostenfrei",,https://www.fitstore24.com/de/santa-cruz-megatower-2-gx-axs-air-trans-blue-2022,"7.999,00",
14,fit-store,de,,CUBE,Cube AMS ZERO99 C:68X Race 29 liquidred'n'carbon 2...,new,MTB Fully,1,"Lieferzeit: Zur Zeit nicht lieferbar
Versandkostenfrei","RH-S | Zur Zeit nicht lieferbar
RH-M | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/cube-ams-zero99-c68x-race-29-liquidredncarbon-2022,"4.199,00",
15,fit-store,de,2022,Scott,Scott Spark 920 White/Black 2022,new,MTB Fully,0,"Lagernd, sofort lieferbar
Versandkostenfrei",,https://www.fitstore24.com/de/scott-spark-920-white-black-2022,"3.999,00","4.699,00"
16,fit-store,de,2023,CUBE,Cube Aim Race olive´n´black 2023,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH 14"" | Lagernd, sofort lieferbar
RH 20"" | Lagernd, sofort lieferbar
RH 24"" | Lagernd, sofort lieferbar
RH 22"" | Lagernd, sofort lieferbar",https://www.fitstore24.com/de/cube-aim-race-olivenblack-2023,"679,00",
17,fit-store,de,2023,Santa Cruz,Santa Cruz 5010 C R red 2023,new,MTB Fully,0,"Lieferzeit: Zur Zeit nicht lieferbar
Versandkostenfrei",,https://www.fitstore24.com/de/santa-cruz-5010-c-r-red-2023,"5.399,00",
18,fit-store,de,2023,Focus,Focus Whistler 3.9 diamondblack 2023,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-XL | Lagernd, sofort lieferbar
RH-S | 2-4 Wochen
RH-L | Lagernd, sofort lieferbar
RH-M | Zur Zeit nicht lieferbar
RH-XS | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/focus-whistler-3-9-diamondblack-2022,"1.034,00","1.149,00"
19,fit-store,de,2023,Focus,Focus Whistler 3.6 bluegreen 2023,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-XS | Zur Zeit nicht lieferbar
RH-L | Lagernd, sofort lieferbar
RH-M | Lagernd, sofort lieferbar
RH-S | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/focus-whistler-3-6-bluegreen-2023,"749,00",
20,fit-store,de,2022,Mondraker,Mondraker Chrono Carbon 29 SPE 2022,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH-XL | Lagernd, sofort lieferbar
RH-S | Lagernd, sofort lieferbar",https://www.fitstore24.com/de/mondraker-chrono-carbon-29-2022,"1.899,00","2.199,00"
21,fit-store,de,2023,Mondraker,Mondraker Summum Carbon R MX 2023,new,MTB Fully,1,"Lieferzeit: 5-9 Wochen
Versandkostenfrei","RH-L | 5-9 Wochen
RH-M | 5-9 Wochen",https://www.fitstore24.com/de/mondraker-summum-carbon-r-mx-2023,"7.699,00",
22,fit-store,de,2023,CUBE,Cube Aim SLX white´n´blue´n´red 2023,new,MTB Hardtail,1,"Lagernd, sofort lieferbar
Versandkostenfrei","RH 18"" | Lagernd, sofort lieferbar
RH 20"" | Lagernd, sofort lieferbar
RH 16"" | Lagernd, sofort lieferbar
RH 14"" | Lagernd, sofort lieferbar
RH 22"" | Zur Zeit nicht lieferbar
RH 24"" | Zur Zeit nicht lieferbar",https://www.fitstore24.com/de/cube-aim-slx-whitenbluenred-2023,"799,00",
