,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,lucky-bike,de,2022,Axess,Axess STIPE 26 2022 | 13 Zoll | black matt/red/lime | 26 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: 13 Zoll
",https://www.lucky-bike.de/Fahrraeder/Axess-STIPE-26-2022.html?varselid[1]=d4034fb4d0f86c0c13eb3154c5dadd61,"383,99","479,99"
1,lucky-bike,de,2023,Cube,Cube Access WS SLX 2023 | L | shiftpurple´n´black | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: M, L
",https://www.lucky-bike.de/Fahrraeder/Cube-Access-WS-SLX-2023.html?varselid[1]=b5b442ad154f9396755aa255d906cdc7,"1.199,00",
2,lucky-bike,de,2022,Scott,Scott Contessa Active 60 2022 | S | mineral blue/teal green | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: XS, S
",https://www.lucky-bike.de/Fahrraeder/Scott-Contessa-Active-60-2022.html?varselid[1]=eb1729e981554ec433ccdcb96206f00b,"534,99","629,00"
3,lucky-bike,de,2023,Cube,Cube Flying Circus 2023 | L | galactic´n´black | 26 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: M, L
",https://www.lucky-bike.de/Fahrraeder/Cube-Flying-Circus-2023.html?varselid[1]=032a6bf36b4d0f223f004e2c199dbd6b,"1.099,00",
4,lucky-bike,de,2022,Scott,Scott Spark RC Team 2022 | high risk red,new,Mountainbike,1,Lieferzeiten,"Einzelstück: M
Wenige Exemplare auf Lager - schnell bestellen! : L
",https://www.lucky-bike.de/Fahrraeder/Scott-Spark-RC-Team-2022.html?varselid[1]=806db66216a04eb2b6883abfc65995f7,"4.699,00",
5,lucky-bike,de,2022,Scott,Scott Contessa Active 40 2022 | L | nitro purple | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Wenige Exemplare auf Lager - schnell bestellen!: XS
Sofort lieferbar: S, M, L
",https://www.lucky-bike.de/Fahrraeder/Scott-Contessa-Active-40-2022.html?varselid[1]=f9a33fc7449f5f9acfa9197e7b98e551,"662,99","779,00"
6,lucky-bike,de,2022,Scott,Scott Aspect 760 2022 | 19 Zoll | florida red/black | 27.5 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: 14 Zoll, 16 Zoll, 17 Zoll
Einzelstück: 19 Zoll
",https://www.lucky-bike.de/Fahrraeder/Scott-Aspect-760-2022.html?varselid[1]=81c04dc0c76242cf9571e997e594240f,"594,99","699,00"
7,lucky-bike,de,2022,Cube,Cube Access WS Allroad 2022 | 20 Zoll | airymint´n´black | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: 14 Zoll, 16 Zoll, 18 Zoll, 20 Zoll
",https://www.lucky-bike.de/Fahrraeder/Cube-Access-WS-Allroad-2022.html?varselid[1]=8c94f80bd82f99e71ff252e529144693,"584,99","649,00"
8,lucky-bike,de,2023,Focus,Focus Whistler 3.6 2023 | 50 cm | slate grey | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Sofort lieferbar: 38 cm, 42 cm, 46 cm, 50 cm
",https://www.lucky-bike.de/Fahrraeder/Focus-Whistler-3-6-2023.html?varselid[1]=69391f89e56bc7ceabc8158e74baf5f1,"749,00",
9,lucky-bike,de,2023,Cube,Cube Attention SLX 2023 | XXL | sea´n´orange | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Wenige Exemplare auf Lager - schnell bestellen!: S, M, XXL
Sofort lieferbar: L, XL
",https://www.lucky-bike.de/Fahrraeder/Cube-Attention-SLX-2023.html?varselid[1]=5070ba953d02896e82765a6f3996f75e,"1.099,00",
10,lucky-bike,de,2022,Scott,Scott Spark RC Team 2022 | L | raw carbon | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Wenige Exemplare auf Lager - schnell bestellen! : M
Einzelstück: L
",https://www.lucky-bike.de/Fahrraeder/Scott-Spark-RC-Team-2022.html?varselid[1]=806db66216a04eb2b6883abfc65995f7,"4.699,00",
11,lucky-bike,de,2023,Cube,Cube Aim RACE 2023 | XXL | black´n´azure | 29 Zoll,new,Mountainbike,1,Lieferzeiten,"Wenige Exemplare auf Lager - schnell bestellen!: XS
Sofort lieferbar: S, M, L, XL, XXL
",https://www.lucky-bike.de/Fahrraeder/Cube-Aim-RACE-2023.html?varselid[1]=fdccae2ba398ecb010ddfbf720312bd5,"679,00",
