,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,Pyrobikes,de,,,TWELVE rot,,MountainBikes,Jetzt online kaufen,Auf Lager,one-size,https://pyrobikes.de/collections/fahrrader/products/twelve,199.0,
1,Pyrobikes,de,,,TWELVE blau,,MountainBikes,Jetzt online kaufen,Auf Lager,one-size,https://pyrobikes.de/collections/fahrrader/products/twelve,199.0,
2,Pyrobikes,de,,,TWELVE gruen,,MountainBikes,Jetzt online kaufen,Auf Lager,one-size,https://pyrobikes.de/collections/fahrrader/products/twelve,199.0,
3,Pyrobikes,de,,,SIXTEEN magenta,,MountainBikes,Jetzt online kaufen,Auf Lager,"Large, Small",https://pyrobikes.de/collections/fahrrader/products/sixteen,419.0,
4,Pyrobikes,de,,,SIXTEEN blau,,MountainBikes,Jetzt online kaufen,Auf Lager,"Large, Small",https://pyrobikes.de/collections/fahrrader/products/sixteen,419.0,
5,Pyrobikes,de,,,SIXTEEN gruen,,MountainBikes,Jetzt online kaufen,Auf Lager,"Large, Small",https://pyrobikes.de/collections/fahrrader/products/sixteen,419.0,
6,Pyrobikes,de,,,TWENTY gruen,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twenty,569.0,
7,Pyrobikes,de,,,TWENTY blau,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twenty,569.0,
8,Pyrobikes,de,,,TWENTY matt schwarz,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twenty,569.0,
9,Pyrobikes,de,,,TWENTY magenta,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twenty,569.0,
10,Pyrobikes,de,,,TWENTYFOUR gruen,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyfour,659.0,
11,Pyrobikes,de,,,TWENTYFOUR blau,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyfour,659.0,
12,Pyrobikes,de,,,TWENTYFOUR mint,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyfour,659.0,
13,Pyrobikes,de,,,TWENTYFOUR matt schwarz,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyfour,659.0,
14,Pyrobikes,de,,,TWENTYFOUR rot,,MountainBikes,Jetzt online kaufen,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyfour,659.0,
15,Pyrobikes,de,,,TWENTYFOUR AIR gruen,,MountainBikes,im Fachhandel erhältlich,Auf Lager,one-size,https://pyrobikes.de/collections/fahrrader/products/twentyfour-air,1499.0,
16,Pyrobikes,de,,,TWENTYFOUR AIR matt schwarz,,MountainBikes,im Fachhandel erhältlich,Auf Lager,one-size,https://pyrobikes.de/collections/fahrrader/products/twentyfour-air,1499.0,
17,Pyrobikes,de,,,TWENTYSIX mint,,MountainBikes,,,"9-Gang, 10-Gang",https://pyrobikes.de/collections/fahrrader/products/twentysix-small,789.00,
18,Pyrobikes,de,,,TWENTYSIX matt schwarz,,MountainBikes,,,"9-Gang, 10-Gang",https://pyrobikes.de/collections/fahrrader/products/twentysix-small,789.00,
19,Pyrobikes,de,,,TWENTYSEVEN.5 mint,,MountainBikes,im Fachhandel erhältlich,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyseven-5,989.0,
20,Pyrobikes,de,,,TWENTYSEVEN.5 matt schwarz,,MountainBikes,im Fachhandel erhältlich,Auf Lager,"Small, Large",https://pyrobikes.de/collections/fahrrader/products/twentyseven-5,989.0,
21,Pyrobikes,de,,,TWENTYSEVEN.5 DISC matt schwarz,,MountainBikes,im Fachhandel erhältlich,,"B.13 (13""), B.14 (14""), B.16 (16""), B.18 (18"")",https://pyrobikes.de/collections/fahrrader/products/twentyseven-5-disc,1699.0,
22,Pyrobikes,de,,,TWENTYSEVEN.5 DISC mint,,MountainBikes,im Fachhandel erhältlich,,"B.13 (13""), B.14 (14""), B.16 (16""), B.18 (18"")",https://pyrobikes.de/collections/fahrrader/products/twentyseven-5-disc,1699.0,
