,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,radwelt-shop,de,2023,Bulls,"Bulls Zarena 1 29"" grün 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19188/bulls-zarena-1-29-gruen-2023,"649,00","749,00"
1,radwelt-shop,de,2023,Bulls,"Bulls Zarena 2 27,5"" blau 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19186/bulls-zarena-2-27-5-blau-2023,"799,00","899,00"
2,radwelt-shop,de,2023,Bulls,"Bulls Zarena 1 29"" grau 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19187/bulls-zarena-1-29-grau-2023,"649,00","749,00"
3,radwelt-shop,de,2023,Bulls,"Bulls Zarena 2 27,5"" grau 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19185/bulls-zarena-2-27-5-grau-2023,"799,00","899,00"
4,radwelt-shop,de,2023,Bulls,"Bulls Zarena 1 27,5"" grau 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19183/bulls-zarena-1-27-5-grau-2023,"649,00","749,00"
5,radwelt-shop,de,2023,Bulls,"Bulls Zarena 1 27,5"" grün 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19184/bulls-zarena-1-27-5-gruen-2023,"649,00","749,00"
6,radwelt-shop,de,2023,Bulls,"Bulls Nandi 27,5"" lila 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19182/bulls-nandi-27-5-lila-2023,"549,00","649,00"
7,radwelt-shop,de,2023,Bulls,"Bulls Nandi 27,5"" grau 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19180/bulls-nandi-27-5-grau-2023,"549,00","649,00"
8,radwelt-shop,de,2023,Bulls,"Bulls Nandi 27,5"" rot 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19181/bulls-nandi-27-5-rot-2023,"549,00","649,00"
9,radwelt-shop,de,2023,Bulls,"Bulls Nandi 26"" lila 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19179/bulls-nandi-26-lila-2023,"549,00","649,00"
10,radwelt-shop,de,2023,Bulls,"Bulls Nandi 26"" rot 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19178/bulls-nandi-26-rot-2023,"549,00","649,00"
11,radwelt-shop,de,2023,Bulls,"Bulls Black Adder RS 29"" schwarz 2023",new,mountainbikes-hardtail,1,,"41 cm 
44 cm 
48 cm 
54 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19176/bulls-black-adder-rs-29-schwarz-2023,"3.599,00",
12,radwelt-shop,de,2023,Bulls,"Bulls Nandi 26"" grau 2023",new,mountainbikes-hardtail,1,,"37 cm
41 cm
46 cm
51 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19177/bulls-nandi-26-grau-2023,"549,00","649,00"
13,radwelt-shop,de,2023,Bulls,"Bulls Bushmaster RS 29"" schwarz 2023",new,mountainbikes-hardtail,1,,"41 cm 
44 cm 
48 cm 
54 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19175/bulls-bushmaster-rs-29-schwarz-2023,"2.499,00",
14,radwelt-shop,de,2023,Bulls,"Bulls Bushmaster S 29"" blau 2023",new,mountainbikes-hardtail,1,,"41 cm 
44 cm 
48 cm 
54 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19174/bulls-bushmaster-s-29-blau-2023,"1.999,00",
15,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3 RS 29"" schwarz 2023",new,mountainbikes-hardtail,1,,"40 cm 
44 cm 
49 cm 
53 cm 
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19172/bulls-copperhead-3-rs-29-schwarz-2023,"1.999,00","2.199,00"
16,radwelt-shop,de,2023,Bulls,"Bulls Duro 29"" grau 2023",new,mountainbikes-hardtail,1,,"40 cm 
43 cm 
45 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19173/bulls-duro-29-grau-2023,"2.099,00",
17,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3S 29"" blau matt 2023",new,mountainbikes-hardtail,1,,"40 cm
44 cm
49 cm
53 cm
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19171/bulls-copperhead-3s-29-blau-matt-2023,"1.699,00","1.899,00"
18,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3S 29"" blau 2023",new,mountainbikes-hardtail,1,,"40 cm
44 cm
49 cm
53 cm
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19170/bulls-copperhead-3s-29-blau-2023,"1.699,00","1.899,00"
19,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3 29"" schwarz 2023",new,mountainbikes-hardtail,1,,"40 cm
44 cm
49 cm
53 cm
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19168/bulls-copperhead-3-29-schwarz-2023,"1.399,00","1.599,00"
20,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3S 29"" grau 2023",new,mountainbikes-hardtail,1,,"40 cm
44 cm
49 cm
53 cm
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19169/bulls-copperhead-3s-29-grau-2023,"1.699,00","1.899,00"
21,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3 29"" grün 2023",new,mountainbikes-hardtail,1,,"40 cm
44 cm
49 cm
53 cm
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19167/bulls-copperhead-3-29-gruen-2023,"1.399,00","1.599,00"
22,radwelt-shop,de,2023,Bulls,"Bulls Copperhead 3 29"" blau 2023",new,mountainbikes-hardtail,1,,"40 cm
44 cm
49 cm
53 cm
60 cm",https://www.radwelt-shop.de/fahrraeder/mountainbikes/hardtail/19166/bulls-copperhead-3-29-blau-2023,"1.399,00","1.599,00"
