,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,tretwerk,de,,GIANT,"Giant Talon 1 hematite (27,5"") S",new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Giant-Talon-1-hematite-27-5-S/GI2201131284,"999,00",
1,tretwerk,de,,Liv,"Liv Tempt 3 metallic black [29""] S",new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Liv-Tempt-3-metallic-black-29-S/GI2201122184,"679,00",
2,tretwerk,de,,Trek,Trek Fuel EX 5 29 L Lithium Grey/Marigold,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Fuel-EX-5-29-L-Lithium-Grey-Marigold/TK1045229,"2.399,00","2.499,00"
3,tretwerk,de,,Trek,Trek Roscoe 6 L Lithium Grey/Cobra Blood,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Roscoe-6-L-Lithium-Grey-Cobra-Blood/TK1047570,"1.149,00","1.199,00"
4,tretwerk,de,,Trek,Trek Roscoe 6 L Lithium Grey/Cobra Blood,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Roscoe-6-L-Lithium-Grey-Cobra-Blood/TK1047570,"1.149,00","1.199,00"
5,tretwerk,de,,KCP,"KCP Attack Fully 27,5 zoll",new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/KCP-Attack-Fully-27-5-zoll/KCP101251,"299,00","374,00"
6,tretwerk,de,,Trek,Trek Slash 8 GX L 29 Matte Hex Blue,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Slash-8-GX-L-29-Matte-Hex-Blue/TK5274505,"4.399,00",
7,tretwerk,de,,Chrisson,Chrisson Stormer Fully 27 zoll Schwarz/Grau,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Chrisson-Stormer-Fully-27-zoll-Schwarz-Grau/KCP102282,"1.049,00","1.599,90"
8,tretwerk,de,,tretwerk,Tretwerk Stingray 26 Zoll Mountainbike Schwarz 48 cm,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Tretwerk-Stingray-26-Zoll-Mountainbike-Schwarz-48-cm/TWB180142648,"599,00","899,00"
9,tretwerk,de,,Trek,Trek Marlin 5 XS 27.5 Radioactive Red,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Marlin-5-XS-27.5-Radioactive-Red/TK5255585,"599,00","624,00"
10,tretwerk,de,,Chrisson,Chrisson Rubby 26 zoll 36 cm Schwarz,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Chrisson-Rubby-26-zoll-36-cm-Weiss/KCP102226,"499,00","621,00"
11,tretwerk,de,,Trek,Trek Marlin 5 XS 27.5 Radioactive Red,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Marlin-5-XS-27.5-Radioactive-Red/TK5255585,"599,00","624,00"
12,tretwerk,de,,Trek,Trek Fuel EX 8 XT ML 29 Matte Pennyflake Gen 6,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Fuel-EX-8-XT-ML-29-Matte-Pennyflake-Gen-6/TK5272054,"4.699,00",
13,tretwerk,de,,Trek,Trek Marlin 5 XS 27.5 Radioactive Red,new,Mountainbike,1,, Sofort versandfertig,https://www.tretwerk.net/Trek-Marlin-5-XS-27.5-Radioactive-Red/TK5255585,"599,00","624,00"
14,tretwerk,de,,Chrisson,"Chrisson Cutter 3.0 Mountainbike Hardtail 27,5 Zoll 51cm",new,Mountainbike,1,,"46 cm:  Sofort versandfertig
51 cm:  Sofort versandfertig",https://www.tretwerk.net/Chrisson-Cutter-3.0-Mountainbike-Hardtail-27-5-Zoll-51cm/KCP102273-51,"499,00","728,00"
