,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,yt-industries,de,,,Decoy MX CORE 2 Platinum Grey,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S, M, L, XL, XXL",https://www.yt-industries.com/de/produkte/bikes/decoy/core-2/420/decoy-mx-core-2/preview,5299.00,
1,yt-industries,de,,,Decoy MX CORE 2 Black Magic,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S, M, L, XL, XXL",https://www.yt-industries.com/de/produkte/bikes/decoy/core-2/420/decoy-mx-core-2/preview,5299.00,
2,yt-industries,de,,,Jeffsy 29 CORE 4 Vlad Red,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S, M, L, XL

AUF LAGER
XXL",https://www.yt-industries.com/de/produkte/bikes/jeffsy/core-4/374/jeffsy-29-core-4/preview,4499.00,4999.00
3,yt-industries,de,,,Jeffsy 29 CORE 4 Black Magic,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S, M, L, XL

AUF LAGER
XXL",https://www.yt-industries.com/de/produkte/bikes/jeffsy/core-4/374/jeffsy-29-core-4/preview,4499.00,4999.00
4,yt-industries,de,,,Jeffsy Primus 27 Nox Blue,new,MountainBikes,1,,"AUF LAGER
One Size",https://www.yt-industries.com/de/produkte/bikes/jeffsy-primus/27/576/jeffsy-primus-27/preview,2399.00,
5,yt-industries,de,,,Szepter CORE 4 28 Machine Light Grey,new,MountainBikes,1,,"AUF LAGER
S, M, L, XXL

VERSAND AB 10. JUNI 2023
XL",https://www.yt-industries.com/de/produkte/bikes/szepter/core-4/490/szepter-core-4-28/preview,4499.00,
6,yt-industries,de,,,Izzo CORE 3 Assault Green,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S

VERSAND AB 06. JULI 2023
M, L, XL, XXL",https://www.yt-industries.com/de/produkte/bikes/izzo/core-3/429/izzo-core-3/preview,3799.00,
7,yt-industries,de,,,Izzo CORE 3 Black Magic,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S

VERSAND AB 06. JULI 2023
M, L, XL, XXL",https://www.yt-industries.com/de/produkte/bikes/izzo/core-3/429/izzo-core-3/preview,3799.00,
8,yt-industries,de,,,Capra 29 CORE 2 Machine Light Grey,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S, XXL

AUF LAGER
M, L, XL",https://www.yt-industries.com/de/produkte/bikes/capra/core-2-gx/538/capra-29-core-2/preview,2799.00,3299.00
9,yt-industries,de,,,Capra 29 CORE 2 Black Magic,new,MountainBikes,1,,"AKTUELL NICHT VERFÜGBAR
S

AUF LAGER
M, L, XL, XXL",https://www.yt-industries.com/de/produkte/bikes/capra/core-2-gx/538/capra-29-core-2/preview,2799.00,3299.00
