,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,Zweirad-stadler,de,,EXTE,"Exte Tornado ATB Hardtail 26""",new,MountainBikes,1,,"3-7 Tage
38 cm | Schwarz-Pink, 44 cm | Schwarz-Pink, 50 cm | Schwarz-Pink, 38 cm | Anthrazit-Türkis, 50 cm | Anthrazit-Türkis, 44 cm | Schwarz-Blau, 50 cm | Schwarz-Blau, 44 cm | Anthrazit-Orange, 50 cm | Anthrazit-Orange

1-2 Wochen
44 cm | Anthrazit-Türkis",https://shop.zweirad-stadler.de/fahrrad-shop/kinder-jugendraeder/jugendrad-24-26/jugendrad-26/exte-tornado-atb-hardtail-26.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,388,529
1,Zweirad-stadler,de,,Bulls,"Pulsar Eco Mountainbike Hardtail 27,5""",new,MountainBikes,1,,"3-7 Tage
46 cm

1-2 Wochen
51 cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-27-5/bulls-pulsar-eco-mountainbike-hardtail-27-5-kaufen.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,448,549
2,Zweirad-stadler,de,,Bulls,Wildstreet ATB Jugendrad 26,new,MountainBikes,1,,"1-2 Wochen
32 cm | lime, 41 cm | lime

3-7 Tage
46 cm | lime, 51 cm | lime",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/mtb-strassentauglich/bulls-wildstreet-atb-jugendrad-26-kaufen.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,442,649
3,Zweirad-stadler,de,,Bulls,Wildstreet ATB Jugendrad 26,new,MountainBikes,1,,"1-2 Wochen
37 cm | weiß-türkis, 46 cm | weiß-türkis

3-7 Tage
41 cm | weiß-türkis",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/mtb-strassentauglich/bulls-wildstreet-atb-jugendrad-26.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,442,649
4,Zweirad-stadler,de,,Dynamics,"Gravity 29 MTB Hardtail 29""",new,MountainBikes,1,,"3-7 Tage
41 cm | schwarz-weiss-rot | 29"", 46 cm | schwarz-weiss-rot | 29"", 51 cm | schwarz-weiss-rot | 29"", 56 cm | schwarz-weiss-rot | 29"", 60 cm | schwarz-weiss-rot | 29""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/dynamics-gravity-29-mtb-hardtail-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,748,999
5,Zweirad-stadler,de,,EXTE,"Exte Turbo 800 MTB Hardtail 27,5""",new,MountainBikes,1,,"3-7 Tage
anthrazit-blau | 43 cm, anthrazit-blau | 48 cm, anthrazit-blau | 53 cm, blau │ 43 cm, blau │ 48 cm, blau │ 53 cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-27-5/exte-turbo-800-mtb-hardtail-27-5.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,392,549
6,Zweirad-stadler,de,,Bulls,"Copperhead FSX Mountainbike Fully 29""",new,MountainBikes,1,,"1-2 Wochen
41 cm | Schwarz, 41 cm | Grau

3-7 Tage
44 cm | Schwarz, 48 cm | Schwarz, 51 cm | Schwarz, 44 cm | Grau, 48 cm | Grau, 51 cm | Grau",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/fully/fully-29/bulls-copperhead-fsx-mountainbike-fully-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,2142,2899
7,Zweirad-stadler,de,,Tecno Bike,Tecnobike Portofino Hardtail Mountainbike,new,MountainBikes,1,,"3-7 Tage
38 cm | schwarz-orange, 44 cm | schwarz-orange, 50 cm | schwarz-orange, 56 cm | schwarz-orange",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-26/tecnobike-portofino-hardtail-mountainbike.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,298,369
8,Zweirad-stadler,de,,Scott,"Scale 965 Hardtail Mountainbike 29""",new,MountainBikes,1,,"1-2 Wochen
40 cm | S, 58 cm | XXL

3-7 Tage
44 cm | M, 48 cm | L",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/scott-scale-965-hardtail-mountainbike-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,1192,1399
9,Zweirad-stadler,de,,Scott,"Contessa Spark 920 Mountainbike Fully 29""",new,MountainBikes,1,,"1-2 Wochen
L",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/fully/fully-29/scott-contessa-spark-920-mountainbike-fully-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,2888,3199
10,Zweirad-stadler,de,,Bulls,Copperhead 3 Mountainbike Hardtail 27.5,new,MountainBikes,1,,"1-2 Wochen
46 cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-27-5/bulls-copperhead-3-mountainbike-hardtail-27-5.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,992,1399
11,Zweirad-stadler,de,,Kona,"Process X Fully Mountainbike 29""",new,MountainBikes,1,,"3-7 Tage
S",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/fully/fully-29/kona-process-x-fully-mountainbike-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,4988,5999
12,Zweirad-stadler,de,,Scott,"Aspect 960 Mountainbike Hardtail 29""",new,MountainBikes,1,,"3-7 Tage
L|48 cm, XL|53 cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/scott-aspect-960-mountainbike-hardtail-29-kaufen.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,562,699
13,Zweirad-stadler,de,,Bulls,"Feli Damen Mountainbike 27,5"" lavendel",new,MountainBikes,1,,"3-7 Tage
lavendel | 37cm, lavendel | 41cm, lavendel | 46cm, lavendel | 51cm",https://shop.zweirad-stadler.de/fahrrad-shop/kinder-jugendraeder/jugendrad-24-26/jugendrad-26/bulls-feli-damen-mountainbike-27-5-lavendel.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,548,678
14,Zweirad-stadler,de,,Bulls,"Raptor Disc Mountainbike Hardtail 29"" - schwarz",new,MountainBikes,1,,"3-7 Tage
51 cm | schwarz | 29"", 56 cm | schwarz | 29""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/bulls-raptor-disc-mountainbike-hardtail-29-schwarz.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,548,679
15,Zweirad-stadler,de,,Scott,"Ransom 920 MTB Fully 29""",new,MountainBikes,1,,"3-7 Tage
M | 44 cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/fully/fully-29/scott-ransom-920-mtb-fully-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,3822,4499
16,Zweirad-stadler,de,,Cannondale,"Jekyll 1 Mountainbike Fully 29""",new,MountainBikes,1,,"3-7 Tage
S | green | 29"", M | green | 29"", XL | green | 29""

1-2 Wochen
L | green | 29""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/fully/fully-29/cannondale-jekyll-1-mountainbike-fully-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,6688,6999
17,Zweirad-stadler,de,,Scott,"Spark 960 MTB Fully 29""",new,MountainBikes,1,,"3-7 Tage
41cm | S | rot, 44cm | M | rot, 48cm | L | rot, 54cm | XL | rot, 41 cm | S | Schwarz, 44cm | M | Schwarz, 48cm | L | Schwarz",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/fully/fully-29/scott-spark-960-mtb-fully-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,2422,2899
18,Zweirad-stadler,de,,Bulls,"Raptor Disc Mountainbike Hardtail 27,5"" - schwarz",new,MountainBikes,1,,"3-7 Tage
37 cm | schwarz | 27,5"", 41 cm | schwarz | 27,5"", 46 cm | schwarz | 27,5""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-27-5/bulls-raptor-disc-mountainbike-hardtail-27-5-schwarz.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,548,679
19,Zweirad-stadler,de,,Bulls,"Sharptail RL Disc MTB Hardtail 29"" schwarz",new,MountainBikes,1,,"3-7 Tage
51 cm | Schwarz-Grau | 29"", 56 cm | Schwarz-Grau | 29"", 60 cm | Schwarz-Grau | 29""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/bulls-sharptail-rl-disc-mtb-hardtail-29-schwarz.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,648,849
20,Zweirad-stadler,de,,Bulls,"Copperhead Ultra Lite Rainbow 26""",new,MountainBikes,1,,"1-2 Wochen
32 cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-26/bulls-copperhead-ultra-lite-rainbow-26.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,1088,1299
21,Zweirad-stadler,de,,Cannondale,Trail SE 2 Mountainbike Hardtail 29,new,MountainBikes,1,,"1-2 Wochen
S",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/cannondale-trail-se-2-mountainbike-hardtail-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,1428,1499
22,Zweirad-stadler,de,,Bulls,"Racer Street Mountainbike Hardtail 27,5"" - blau-schwarz",new,MountainBikes,1,,"1-2 Wochen
37 cm | blau-schwarz | 27,5""

3-7 Tage
41 cm | blau-schwarz | 27,5"", 46 cm | blau-schwarz | 27,5""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-27-5/bulls-racer-street-mountainbike-hardtail-27-5-blau-schwarz.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,598,799
23,Zweirad-stadler,de,,Bulls,"Copperhead 2 Mountainbike Hardtail 29""",new,MountainBikes,1,,"3-7 Tage
schwarz | 46cm, schwarz | 51cm, schwarz | 56cm, schwarz | 61cm, sage | 41cm, sage | 46cm, sage | 51cm",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/bulls-copperhead-2-mountainbike-hardtail-29.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,948,1079
24,Zweirad-stadler,de,,Bulls,"Racer Street Mountainbike Hardtail 29"" - blau schwarz",new,MountainBikes,1,,"3-7 Tage
51 cm | blau-schwarz | 29"", 56 cm | blau-schwarz | 29""",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-29/bulls-racer-street-mountainbike-hardtail-29-blau-schwarz.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,598,799
25,Zweirad-stadler,de,,Scott,"Aspect 760 Hardtail Mountainbike 27,5""",new,MountainBikes,1,,"3-7 Tage
40 cm S, 44 cm M",https://shop.zweirad-stadler.de/fahrrad-shop/mountainbikes/hardtail/hardtail-27-5/scott-aspect-760-hardtail-mountainbike-27-5.html?force_sid=q2rvfti00b19a64vhs3nn3q9jq,562,699
