pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,candidate11_2,office12,candidate12_1
8GALAM01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,DISTRICT COURT JUDGE DISTRICT 15A,Wayne Abernathy,,,DISTRICT COURT JUDGE DISTRICT 15A,Tom Lambeth,Keith Whited,DISTRICT COURT JUDGE DISTRICT 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GALAM02.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,DISTRICT COURT JUDGE DISTRICT 15A,Wayne Abernathy,,,DISTRICT COURT JUDGE DISTRICT 15A,Tom Lambeth,Keith Whited,DISTRICT COURT JUDGE DISTRICT 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GALAM03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,DISTRICT COURT JUDGE DISTRICT 15A,Wayne Abernathy,,,DISTRICT COURT JUDGE DISTRICT 15A,Tom Lambeth,Keith Whited,DISTRICT COURT JUDGE DISTRICT 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GALEX01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 22A,Joe Crosswhite,,,DISTRICT COURT JUDGE DISTRICT 22A,Dale Graham,,DISTRICT COURT JUDGE DISTRICT 22A,Lynn Shuping Gullett,Christine Underwood,DISTRICT COURT JUDGE DISTRICT 22A,"Edward L. Hedrick, IV",,DISTRICT COURT JUDGE DISTRICT 22A,Deborah Brown,Peter A. Smith,,,,,,,,,,,,,,,,,,,,
8GALEX02.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 22A,Joe Crosswhite,,,DISTRICT COURT JUDGE DISTRICT 22A,Dale Graham,,DISTRICT COURT JUDGE DISTRICT 22A,Lynn Shuping Gullett,Christine Underwood,DISTRICT COURT JUDGE DISTRICT 22A,"Edward L. Hedrick, IV",,DISTRICT COURT JUDGE DISTRICT 22A,Deborah Brown,Peter A. Smith,,,,,,,,,,,,,,,,,,,,
8GALEX03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 22A,Joe Crosswhite,,,DISTRICT COURT JUDGE DISTRICT 22A,Dale Graham,,DISTRICT COURT JUDGE DISTRICT 22A,Lynn Shuping Gullett,Christine Underwood,DISTRICT COURT JUDGE DISTRICT 22A,"Edward L. Hedrick, IV",,DISTRICT COURT JUDGE DISTRICT 22A,Deborah Brown,Peter A. Smith,,,,,,,,,,,,,,,,,,,,
8GALEX04.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 22A,Joe Crosswhite,,,DISTRICT COURT JUDGE DISTRICT 22A,Dale Graham,,DISTRICT COURT JUDGE DISTRICT 22A,Lynn Shuping Gullett,Christine Underwood,DISTRICT COURT JUDGE DISTRICT 22A,"Edward L. Hedrick, IV",,DISTRICT COURT JUDGE DISTRICT 22A,Deborah Brown,Peter A. Smith,,,,,,,,,,,,,,,,,,,,
8GALLE01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,DISTRICT COURT JUDGE DISTRICT 23,"Robert (Bert) Greene, Jr.",Jeanie Reavis Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO01.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO02.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO03.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO04.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO05.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO06.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO07.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO08.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GANSO09.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2008-11-04.zip,SUPERIOR COURT JUDGE DISTRICT 20A,Kevin M. Bridges,Charles Weaver Collini,Tanya Wallace,DISTRICT COURT JUDGE DISTRICT 20A,Lisa Blue Thacker,,DISTRICT COURT JUDGE DISTRICT 20A,John Daniel,Amanda L. (Amy) Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
