pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,candidate11_2,office12,candidate12_1,candidate12_2,office13,candidate13_1,candidate13_2
ALAMANCE-20121106-Style001v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC District Court Judge District 15A,Tom Lambeth,,,NC District Court Judge District 15A,Kathryn (Katie) Whitaker Overby,"John P. Paisley, Jr.",NC District Court Judge District 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20121106-Style002v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC District Court Judge District 15A,Tom Lambeth,,,NC District Court Judge District 15A,Kathryn (Katie) Whitaker Overby,"John P. Paisley, Jr.",NC District Court Judge District 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20121106-Style003v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC District Court Judge District 15A,Tom Lambeth,,,NC District Court Judge District 15A,Kathryn (Katie) Whitaker Overby,"John P. Paisley, Jr.",NC District Court Judge District 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20121106-Style004v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC District Court Judge District 15A,Tom Lambeth,,,NC District Court Judge District 15A,Kathryn (Katie) Whitaker Overby,"John P. Paisley, Jr.",NC District Court Judge District 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20121106-Style005v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC District Court Judge District 15A,Tom Lambeth,,,NC District Court Judge District 15A,Kathryn (Katie) Whitaker Overby,"John P. Paisley, Jr.",NC District Court Judge District 15A,James K. (Jim) Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style001-BETHLEHEM_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style002-BETHLEHEM_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style003-ELLENDALE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style004-GWALTNEY_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style005-GWALTNEY_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style006-LITTLE_RIVER.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style007-MILLERS.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style008-SHARPES_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style009-SHARPES_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style010-SUGAR_LOAF.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style011-TAYLORSVILLE_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20121106-Style012-TAYLORSVILLE_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2012-11-06.zip,NC Superior Court Judge District 22A,Julia Lynn Gullett,Alexander Mendaloff III,,NC District Court Judge District 22A,Deborah P. Brown,,NC District Court Judge District 22A,Dale Graham,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,,,,,,,,,,,,,,,,,,,,,,,,
