pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,candidate1_4,candidate1_5,office2,candidate2_1,candidate2_2,candidate2_3,candidate2_4,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,candidate11_2
ALAMANCE-20141104-Style001v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 15A,Keith Whited,Jim Roberson,Mike Rodgers,Alex Dawson III,Rick Champion,NC District Court Judge District 15A,John W. Cox,Brad Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20141104-Style002v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 15A,Keith Whited,Jim Roberson,Mike Rodgers,Alex Dawson III,Rick Champion,NC District Court Judge District 15A,John W. Cox,Brad Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20141104-Style003v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 15A,Keith Whited,Jim Roberson,Mike Rodgers,Alex Dawson III,Rick Champion,NC District Court Judge District 15A,John W. Cox,Brad Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20141104-Style004v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 15A,Keith Whited,Jim Roberson,Mike Rodgers,Alex Dawson III,Rick Champion,NC District Court Judge District 15A,John W. Cox,Brad Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMANCE-20141104-Style005v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 15A,Keith Whited,Jim Roberson,Mike Rodgers,Alex Dawson III,Rick Champion,NC District Court Judge District 15A,John W. Cox,Brad Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style001-BETHLEHEM_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style002-BETHLEHEM_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style003-ELLENDALE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style004-GWALTNEY_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style005-GWALTNEY_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style006-LITTLE_RIVER.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style007-MILLERS.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style008-SHARPES_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style009-SHARPES_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style010-SUGAR_LOAF.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style011-TAYLORSVILLE_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style012-TAYLORSVILLE_2.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style013-TAYLORSVILLE_3.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style014-TAYLORSVILLE_4.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style015-TAYLORSVILLE_5.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER-20141104-Style016-WITTENBURG.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 22A,Carole A. Hicks,H. Thomas (Tom) Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEGHANY-20141104-Style001v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 23,Michael D. Duncan,,,,,NC District Court Judge District 23,William (Bill) Brooks,,,,NC District Court Judge District 23,David V. Byrd,,NC District Court Judge District 23,Donna L. Shumate,Robert (Rob) Crumpton,,,,,,,,,,,,,,,,,,,,,
ANSON-20141104-Style001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 16A,Scott T. Brewer,,,,,NC District Court Judge District 16A,Regina M. Joe,,,,NC District Court Judge District 16A,Chris Rhue,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON-20141104-Style002.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 16A,Scott T. Brewer,,,,,NC District Court Judge District 16A,Regina M. Joe,,,,NC District Court Judge District 16A,Chris Rhue,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON-20141104-Style003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 16A,Scott T. Brewer,,,,,NC District Court Judge District 16A,Regina M. Joe,,,,NC District Court Judge District 16A,Chris Rhue,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON-20141104-Style004.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 16A,Scott T. Brewer,,,,,NC District Court Judge District 16A,Regina M. Joe,,,,NC District Court Judge District 16A,Chris Rhue,,,,,,,,,,,,,,,,,,,,,,,,,
ASHE-20141104-Style001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC Superior Court Judge District 23,Michael D. Duncan,,,,,NC District Court Judge District 23,William (Bill) Brooks,,,,NC District Court Judge District 23,David V. Byrd,,NC District Court Judge District 23,Donna L. Shumate,Robert (Rob) Crumpton,,,,,,,,,,,,,,,,,,,,,
AVERY-20141104-Style001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 24,Warren Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style002.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style004.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style005.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style006.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style007.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style008.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style009.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style010.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style011.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20141104-Style012.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 2,"Darrell B. Cayton, Jr.",,,,,NC District Court Judge District 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERTIE-20141104-Style001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADEN-20141104-Style001v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 13,William F. Fairley,,,,,NC District Court Judge District 13,Sherry Dew Prince,Willie (Fred) Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADEN-20141104-Style002v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 13,William F. Fairley,,,,,NC District Court Judge District 13,Sherry Dew Prince,Willie (Fred) Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADEN-20141104-Style003v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 13,William F. Fairley,,,,,NC District Court Judge District 13,Sherry Dew Prince,Willie (Fred) Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADEN-20141104-Style004v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 13,William F. Fairley,,,,,NC District Court Judge District 13,Sherry Dew Prince,Willie (Fred) Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNSWICK-20141104-Style001v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 13,William F. Fairley,,,,,NC District Court Judge District 13,Sherry Dew Prince,Willie (Fred) Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNSWICK-20141104-Style002v.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 13,William F. Fairley,,,,,NC District Court Judge District 13,Sherry Dew Prince,Willie (Fred) Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNCOMBE-20141104-Style001.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 28,J. Matthew Martin,Ed Clontz,,,,NC District Court Judge District 28,Susan Dotson-Smith,,,,NC District Court Judge District 28,Julie M. Kepple,,NC District Court Judge District 28,Ward D. Scott,,NC District Court Judge District 28,Patricia Kaufmann Young,,,,,,,,,,,,,,,,,,,
BUNCOMBE-20141104-Style002.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 28,J. Matthew Martin,Ed Clontz,,,,NC District Court Judge District 28,Susan Dotson-Smith,,,,NC District Court Judge District 28,Julie M. Kepple,,NC District Court Judge District 28,Ward D. Scott,,NC District Court Judge District 28,Patricia Kaufmann Young,,,,,,,,,,,,,,,,,,,
BUNCOMBE-20141104-Style003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 28,J. Matthew Martin,Ed Clontz,,,,NC District Court Judge District 28,Susan Dotson-Smith,,,,NC District Court Judge District 28,Julie M. Kepple,,NC District Court Judge District 28,Ward D. Scott,,NC District Court Judge District 28,Patricia Kaufmann Young,,,,,,,,,,,,,,,,,,,
BUNCOMBE-20141104-Style004.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2014-11-04.zip,NC District Court Judge District 28,J. Matthew Martin,Ed Clontz,,,,NC District Court Judge District 28,Susan Dotson-Smith,,,,NC District Court Judge District 28,Julie M. Kepple,,NC District Court Judge District 28,Ward D. Scott,,NC District Court Judge District 28,Patricia Kaufmann Young,,,,,,,,,,,,,,,,,,,
