pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,candidate1_4,candidate1_5,office2,candidate2_1,candidate2_2,candidate2_3,candidate2_4,candidate2_5,office3,candidate3_1,candidate3_2,candidate3_3,candidate3_4,candidate3_5,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2
ROBESON-20181106-Style060-OXENDINE-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROBESON-20181106-Style060-OXENDINE-GEN.pdf,NC District Court Judge District 16B Seat 1,Brooke Locklear Clark,,,,,NC District Court Judge District 16B Seat 2,"Jack Moody, Jr.",Vanessa Burton,,,,NC District Court Judge District 16B Seat 3,Angelica Chavis McIntyre,Dale Deese,,,,,,,,,,,,,,,,,,,,,
WILSON-20181106-Style012-SPRING_HILL-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/WILSON-20181106-Style012-SPRING_HILL-GEN.pdf,NC Superior Court Judge District 7C Seat 1,"Walter H. Godwin, Jr.",,,,,NC District Court Judge District 7 Seat 1,Pell Cooper,,,,,NC District Court Judge District 7 Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,,
YANCEY-20181106-Style004-RAMSEYTOWN-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/YANCEY-20181106-Style004-RAMSEYTOWN-GEN.pdf,NC Superior Court Judge District 24 Seat 1,Gary Gavenus,,,,,NC District Court Judge District 24 Seat 1,Larry Leake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBESON-20181106-Style010-GADDYS-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROBESON-20181106-Style010-GADDYS-GEN.pdf,NC District Court Judge District 16B Seat 1,Brooke Locklear Clark,,,,,NC District Court Judge District 16B Seat 2,"Jack Moody, Jr.",Vanessa Burton,,,,NC District Court Judge District 16B Seat 3,Angelica Chavis McIntyre,Dale Deese,,,,,,,,,,,,,,,,,,,,,
BEAUFORT-20181106-Style004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/BEAUFORT-20181106-Style004-GEN.pdf,NC Superior Court Judge District 2 Seat 1,"Wayland J. Sermons, Jr.",,,,,NC District Court Judge District 2 Seat 1,Sarah A. Homes,"Darrell B. Cayton, Jr.",,,,NC District Court Judge District 2 Seat 2,Regina R. Parker,,,,,,,,,,,,,,,,,,,,,,
CATAWBA-20181106-Style055-LAKE_NORMAN-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/CATAWBA-20181106-Style055-LAKE_NORMAN-GEN.pdf,NC Superior Court Judge District 25B Seat 1,Nathaniel (Nathan) J. Poovey,,,,,NC District Court Judge District 25 Seat 1,David W. Aycock,,,,,NC District Court Judge District 25 Seat 2,Wes W. Barkley,,,,,NC District Court Judge District 25 Seat 3,Sherri Wilson Elliott,,NC District Court Judge District 25 Seat 4,"Robert A. Mullinax, Jr.",,NC District Court Judge District 25 Seat 5,Amy Sigmon Walker,Scott M. Cranford,NC District Court Judge District 25 Seat 6,Clifton H. Smith,,NC District Court Judge District 25 Seat 7,Mark L. Killian,,,,
EDGECOMBE-20181106-Style001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/EDGECOMBE-20181106-Style001-GEN.pdf,NC Superior Court Judge District 7C Seat 1,"Walter H. Godwin, Jr.",,,,,NC District Court Judge District 7 Seat 1,Pell Cooper,,,,,NC District Court Judge District 7 Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,,
ROBESON-20181106-Style058-SHANNON-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROBESON-20181106-Style058-SHANNON-GEN.pdf,NC District Court Judge District 16B Seat 1,Brooke Locklear Clark,,,,,NC District Court Judge District 16B Seat 2,"Jack Moody, Jr.",Vanessa Burton,,,,NC District Court Judge District 16B Seat 3,Angelica Chavis McIntyre,Dale Deese,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20181106-Style076-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/MECKLENBURG-20181106-Style076-GEN.pdf,NC Superior Court Judge District 26C Seat 1,Reggie E. McKnight,George Bell,Howard L. Clark III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOKE-20181106-Style007-ROCKFISH-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/HOKE-20181106-Style007-ROCKFISH-GEN.pdf,NC Superior Court Judge District 19D Seat 1,Michael (Mike) Stone,Gregory B. Thompson,,,,NC District Court Judge District 19D Seat 1,Warren McSweeney,,,,,NC District Court Judge District 19D Seat 2,Brian Godfrey,Regina M. Joe,Steve Bibey,,,,,,,,,,,,,,,,,,,,
