pdf_file,pdf_url,office1,candidate1_1,candidate1_2,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,office12,candidate12_1,office13,candidate13_1
NASH-20201103-SAMPLE-E-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/NASH-20201103-SAMPLE-E-B0004-GEN.pdf,NC District Court Judge District 7 Seat 3,"William Robert Solomon, Jr.",Sharon Sprinkle,NC District Court Judge District 7 Seat 4,Anthony W. (Tony) Brown,Joseph M. (Mike) Eatmon,NC District Court Judge District 7 Seat 5,Ed Brown,,NC District Court Judge District 7 Seat 6,William C. Farris,,NC District Court Judge District 7 Seat 7,Beth Freshwater-Smith,,,,,,,,,,,,,,,,,,,,
NASH-20201103-SAMPLE-E-B0014-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/NASH-20201103-SAMPLE-E-B0014-GEN.pdf,NC District Court Judge District 7 Seat 3,"William Robert Solomon, Jr.",Sharon Sprinkle,NC District Court Judge District 7 Seat 4,Anthony W. (Tony) Brown,Joseph M. (Mike) Eatmon,NC District Court Judge District 7 Seat 5,Ed Brown,,NC District Court Judge District 7 Seat 6,William C. Farris,,NC District Court Judge District 7 Seat 7,Beth Freshwater-Smith,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0067-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0067-GEN.pdf,NC District Court Judge District 10D Seat 4,Lori G. Christian,,NC District Court Judge District 10D Seat 5,Debra Ann Smith Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0022-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0022-GEN.pdf,NC Superior Court Judge District 21B Seat 1,David L. Hall,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0077-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0077-GEN.pdf,NC District Court Judge District 10F Seat 2,Beth Tanner,Tim Gunther,NC District Court Judge District 10F Seat 3,Jim Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0032-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0032-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
YADKIN-20201103-SAMPLE-U-B0003-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/YADKIN-20201103-SAMPLE-U-B0003-GEN.pdf,NC District Court Judge District 23 Seat 4,Donna L. Shumate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANCE-20201103-SAMPLE-U-B0009-HTOP-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/VANCE-20201103-SAMPLE-U-B0009-HTOP-GEN.pdf,NC District Court Judge District 9 Seat 1,John W. Davis,,NC District Court Judge District 9 Seat 2,Katherine Burnette,,NC District Court Judge District 9 Seat 3,Amanda Stevenson,,NC District Court Judge District 9 Seat 4,John Hoyte (J.) Stultz III,Carolyn (Yancey) Thompson,NC District Court Judge District 9 Seat 5,Caroline S. Burnette,,,,,,,,,,,,,,,,,,,,
HARNETT-20201103-SAMPLE-U-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/HARNETT-20201103-SAMPLE-U-B0004-GEN.pdf,NC Superior Court Judge District 11A Seat 1,Winston Gilchrist,,NC District Court Judge District 11 Seat 4,Jason H. Coats,,NC District Court Judge District 11 Seat 5,Resson Faircloth,,NC District Court Judge District 11 Seat 6,Paul A. Holcombe,,NC District Court Judge District 11 Seat 7,Terry F. Rose,,NC District Court Judge District 11 Seat 8,"Jimmy L. Love, Jr.",NC District Court Judge District 11 Seat 9,Frank Wood,,NC District Court Judge District 11 Seat 10,Mary Howard Wells,NC District Court Judge District 11 Seat 11,O. Henry Willis,,,,,,,,,,
HARNETT-20201103-SAMPLE-U-B0014-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/HARNETT-20201103-SAMPLE-U-B0014-GEN.pdf,NC Superior Court Judge District 11A Seat 1,Winston Gilchrist,,NC District Court Judge District 11 Seat 4,Jason H. Coats,,NC District Court Judge District 11 Seat 5,Resson Faircloth,,NC District Court Judge District 11 Seat 6,Paul A. Holcombe,,NC District Court Judge District 11 Seat 7,Terry F. Rose,,NC District Court Judge District 11 Seat 8,"Jimmy L. Love, Jr.",NC District Court Judge District 11 Seat 9,Frank Wood,,NC District Court Judge District 11 Seat 10,Mary Howard Wells,NC District Court Judge District 11 Seat 11,O. Henry Willis,,,,,,,,,,
