pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,candidate9_2,office10,candidate10_1,office11,candidate11_1
MECKLENBURG-20221108-SAMPLE-E-B0077-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0077-GEN.pdf,NC Superior Court Judge District 26G - Seat 1,Carla N. Archie,,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia
WAYNE-20221108-SAMPLE-E-B0029-13_09-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0029-13_09-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0067-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0067-GEN.pdf,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,
VANCE-20221108-SAMPLE-E-B0052-WH_05-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/VANCE-20221108-SAMPLE-E-B0052-WH_05-GEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0017-043-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0017-043-GEN.pdf,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,,NC District Court Judge District 21 - Seat 4,George Cleland,,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,- VOTE BOTH SIDES -,,,,,,,,,,,,,,
MARTIN-20221108-SAMPLE-E-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MARTIN-20221108-SAMPLE-E-B0005-GEN.pdf,NC District Court Judge District 2 - Seat 1,"Darrell B. Cayton, Jr.",,,NC District Court Judge District 2 - Seat 2,Regina Rodgers Parker,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0104-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0104-GEN.pdf,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0047-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0047-GEN.pdf,NC Superior Court Judge District 10A - Seat 1,Paul C. Ridgeway,,,NC District Court Judge District 10E - Seat 1,Sam Hamadani,,NC District Court Judge District 10E - Seat 2,Louis Meyer,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0114-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0114-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
WAKE-20221108-SAMPLE-U-B0057-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0057-GEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANCE-20221108-SAMPLE-E-B0053-WH_09-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/VANCE-20221108-SAMPLE-E-B0053-WH_09-GEN.pdf,NC District Court Judge District 9B - Seat 1,Ben Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0047-23_11-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0047-23_11-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
EDGECOMBE-20221108-SAMPLE-E-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/EDGECOMBE-20221108-SAMPLE-E-B0004-GEN.pdf,NC Superior Court Judge District 7C - Seat 1,William D. Wolfe,,,NC District Court Judge District 7 - Seat 1,Pell Cooper,,NC District Court Judge District 7 - Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0041-1920_15-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0041-1920_15-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
SURRY-20221108-SAMPLE-E-B0006-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/SURRY-20221108-SAMPLE-E-B0006-GEN.pdf,NC District Court Judge District 17B - Seat 3,Marion M. Boone,,,NC District Court Judge District 17B - Seat 1,Gretchen Hollar Kirkman,,NC District Court Judge District 17B - Seat 2,Tom Langan,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
VANCE-20221108-SAMPLE-E-B0028-NH1_07-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/VANCE-20221108-SAMPLE-E-B0028-NH1_07-GEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20221108-SAMPLE-E-B0009-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0009-GEN.pdf,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,,,,
STANLY-20221108-SAMPLE-E-B0024-ENDY-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/STANLY-20221108-SAMPLE-E-B0024-ENDY-GEN.pdf,NC District Court Judge District 20A - Seat 2,John R. Nance,,,NC District Court Judge District 20A - Seat 3,Thai Vang,,NC District Court Judge District 20A - Seat 1,Phillip Cornett,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0025-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0025-GEN.pdf,NC District Court Judge District 10A - Seat 1,Rashad Hauter,,,NC District Court Judge District 10A - Seat 3 Unexpired term ending 2025,Cynthia Baddour Kenney,,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0001-01_01-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0001-01_01-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
GUILFORD-20221108-SAMPLE-E-B0019-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0019-GEN.pdf,NC Superior Court Judge District 18C - Seat 1,Stuart Albright,,,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0035-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0035-GEN.pdf,NC District Court Judge District 10F - Seat 1,Asia Prince,Jennifer Bedford,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0105-901-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0105-901-GEN.pdf,NC District Court Judge District 21 - Seat 2,Fred Adams,,,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,NC District Court Judge District 21 - Seat 4,George Cleland,,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,- VOTE BOTH SIDES -,,,,,,,,,,,,,,
CABARRUS-20221108-SAMPLE-E-B0017-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CABARRUS-20221108-SAMPLE-E-B0017-GEN.pdf,NC Superior Court Judge District 19A - Seat 1,Martin B. (Marty) McGee,- VOTE BOTH SIDES -,,NC District Court Judge District 19A - Seat 1,Christy E. Wilhelm,,NC District Court Judge District 19A - Seat 2,Beth Street,Juanita Boger-Allen,NC District Court Judge District 19A - Seat 3,Steve Grossman,,NC District Court Judge District 19A - Seat 4,Brent Cloninger,,,,,,,,,,,,,,,
CABARRUS-20221108-SAMPLE-E-B0007-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CABARRUS-20221108-SAMPLE-E-B0007-GEN.pdf,NC Superior Court Judge District 19A - Seat 1,Martin B. (Marty) McGee,- VOTE BOTH SIDES -,,NC District Court Judge District 19A - Seat 1,Christy E. Wilhelm,,NC District Court Judge District 19A - Seat 2,Beth Street,Juanita Boger-Allen,NC District Court Judge District 19A - Seat 3,Steve Grossman,,NC District Court Judge District 19A - Seat 4,Brent Cloninger,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0053-26_11-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0053-26_11-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
PITT-20221108-SAMPLE-U-B0010-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/PITT-20221108-SAMPLE-U-B0010-GEN.pdf,NC Superior Court Judge District 3A - Seat 2,Marvin Blount,,,NC District Court Judge District 3A - Seat 1,Daniel Hines Entzminger,,NC District Court Judge District 3A - Seat 2,Lee Teague,,,,,,,,,,,,,,,,,,,,,
JOHNSTON-20221108-SAMPLE-E-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/JOHNSTON-20221108-SAMPLE-E-B0002-GEN.pdf,NC Superior Court Judge District 11B - Seat 1,Tom Lock,,,NC Superior Court Judge District 11B - Seat 2,Paul A. Holcombe,,NC District Court Judge District 11 - Seat 1,Joy A. Jones,,NC District Court Judge District 11 - Seat 2,Travis Wheeler,,NC District Court Judge District 11 - Seat 3,Jason P. Kimble,,,,,,,,,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0015-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0015-GEN.pdf,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,
BUNCOMBE-20221108-SAMPLE-E-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/BUNCOMBE-20221108-SAMPLE-E-B0001-GEN.pdf,NC Superior Court Judge District 28 - Seat 1,Jacqueline Grant,- VOTE BOTH SIDES -,,NC District Court Judge District 28 - Seat 1,Ward D. Scott,,NC District Court Judge District 28 - Seat 2,Julie M. Kepple,,NC District Court Judge District 28 - Seat 3,Patricia Kaufmann Young,,NC District Court Judge District 28 - Seat 4,Susan (Smitty) Dotson-Smith,,NC District Court Judge District 28 - Seat 5,Ed Clontz,,,,,,,,,,,,
BUNCOMBE-20221108-SAMPLE-E-B0011-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/BUNCOMBE-20221108-SAMPLE-E-B0011-GEN.pdf,NC Superior Court Judge District 28 - Seat 1,Jacqueline Grant,- VOTE BOTH SIDES -,,NC District Court Judge District 28 - Seat 1,Ward D. Scott,,NC District Court Judge District 28 - Seat 2,Julie M. Kepple,,NC District Court Judge District 28 - Seat 3,Patricia Kaufmann Young,,NC District Court Judge District 28 - Seat 4,Susan (Smitty) Dotson-Smith,,NC District Court Judge District 28 - Seat 5,Ed Clontz,,,,,,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0005-GEN.pdf,NC Superior Court Judge District 26E - Seat 1,Reggie E. McKnight,,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia
JONES-20221108-SAMPLE-E-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/JONES-20221108-SAMPLE-E-B0004-GEN.pdf,NC Superior Court Judge District 4 - Seat 2,Bob Roupe,- VOTE BOTH SIDES -,,NC District Court Judge District 4 - Seat 1,Mario White,,NC District Court Judge District 4 - Seat 2,Morgan H. Swinson,,,,,,,,,,,,,,,,,,,,,
