url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,candidate14,votes_yes14,votes_no14,candidate15,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16,candidate17,votes_yes17,votes_no17,candidate18,votes_yes18,votes_no18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"DOUGHERTY, KEVIN M.",(R/D),"142,060","COHEN, DENIS P.",(R/D),"139,966","MURPHY MCKEOWN, MARGARET",(R/D),"139,295","JACKSON, ELIZABETH",(R/D),"137,462","WOGAN, CHRIS",(R/D),"136,928","RAU, LISA M.",(R/D),"135,535","TRENT, EARL W.",(R/D),"134,595","KANE, HAROLD",(R/D),"132,132","REBSTOCK, ROBERT J.",(R/D),"131,544","FLEISHER, LESLIE",(REP),"25,620","SHARPER, RONALD J.",(REP),"25,198","DEFINO, ROSEMARIE",(DEM),"116,907","OVERTON, GEORGE W.",(DEM),"113,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"HOBERG, JAY J.",(REP),"44,768","GRAY, J. RICHARD",(DEM),"15,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"SMITH, EDWARD G.",(REP),"24,671","KOURY, MICHAEL J.",(DEM),"24,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"DELLA VECCHIA, MICHAEL A.",(R/D),"190,168","TODD, RANDY",(R/D),"178,780","RANGOS, JILL E.",(REP),"101,240","DEANGELIS, GUIDO A.",(DEM),"105,237","MCINTYRE, DANIEL SEAN",(GRN),"9,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"TRUCILLA, JOHN J.",(R/D),"61,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"MELLON, ROBERT J.",(REP),"56,119","ELGART, RONALD H.",(DEM),"39,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,8th Judicial District (Northumberland County),"SAYLOR, CHARLES CHUCK",(REP),"12,949","MYCHAK, MICHAEL F.",(DEM),"10,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"BRATTON, BRUCE F.",(R/D),"36,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,14th Judicial District (Fayette County),"LESKINEN, STEVE P.",(R/D),"18,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=10&ElectionType=G&IsActive=0,2001 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"SARCIONE, ANTHONY A.",(R/D),"55,631","STREITEL, PHYLLIS",(R/D),"45,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
