url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"DUMAS, LORI A.",(D/R),"329,966","WRIGHT-PADILLA, NINA",(D/R),"329,204","FORD, HOLLY J.",(D/R),"328,326","FRAZIER-CLEMONS, BRENDA",(D/R),"328,128","PATRICK, PAULA",(D/R),"327,989","MINEHART, JEFFREY P.",(D/R),"325,585","FLEISHER, LESLIE",(D/R),"325,268","DYCH, JOSEPH A.",(D/R),"322,601","DJERASSI, RAMY ISAAC",(D/R),"319,471","PECHKUROW, DORIS",(DEM),"252,799","JOHNSON, JOEL",(DEM),"250,001","NOCELLA, THOMAS",(REP),"84,905","MOSS, BRAD",(REP),"84,343"
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"WORKMAN, DAVID R.",(D/R),"62,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"KOURY, MICHAEL J.",(DEM),"23,519","GIORDANO, EMIL",(REP),"25,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"WECHT, DAVID N.",(D/R),"256,481","WARD, CHRISTINE",(D/R),"252,091","HERTZBERG, ALAN",(DEM),"155,669","RANGOS, JILL",(REP),"159,582",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"WAITE, CLYDE W.",(D/R),"91,225","MURPHY, MARIJO M.",(DEM),"46,540","KARDOS, MEL",(DEM),"40,031","SPIGLER, MANUEL",(DEM),"37,566","GOLDBERG, MITCHELL S.",(REP),"56,242","CEPPARULO, ALBERT J.",(REP),"55,813","FRITSCH, C. THEODORE",(REP),"53,645",,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,10th Judicial District (Westmoreland County),"FELICIANI, CHRISTOPHER A.",(DEM),"39,371","BONONI, MICHELE G.",(REP),"34,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,11th Judicial District (Luzerne County),"TOOLE, MICHAEL",(D/R),"54,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"HALL, JOHN L.",(D/R),"62,758","GRIFFITH, EDWARD",(D/R),"58,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"BORTNER, MIKE",(D/R),"48,330","KELLEY, TOM",(D/R),"46,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,20th Judicial District (Huntingdon County),"KURTZ, STEWART L.",(D/R),"8,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"BUCCI, JAMES M.",(DEM),"33,304","CARROLL, ANNE L.",(REP),"32,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,24th Judicial District (Blair County),"DOYLE, ELIZABETH",(D/R),"21,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,25th Judicial District (Clinton County),"WILLIAMSON, J. MICHAEL",(D/R),"6,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,27th Judicial District (Washington County),"MASCARA, MARK E.",(DEM),"25,234","FITCH, COLIN E.",(REP),"21,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=12&ElectionType=G&IsActive=0,2003 Municipal Election,Judge of the Court of Common Pleas,29th Judicial District (Lycoming County),"GREEVY, CHARLES SKIP",(DEM),"10,584","GRAY, RICHARD A.",(REP),"14,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
