url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,candidate11,votes_yes11,votes_no11
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"TUCKER, LEON W.",(D/R),"94,278","CUNNINGHAM, CHARLES J.",(D/R),"93,656","PALUMBO, FRANK",(DEM),"93,256","SCHULMAN, SUSAN I.",(D/R),"92,813","BRONSON, GLENN B.",(D/R),"90,232","OLSZEWSKI, WALTER J.",(D/R),"86,074","BUTCHART, ANN M.",(DEM),"74,503","SHIRDAN-HARRIS, LISETTE",(DEM),"73,027","EUBANKS, JOYCE",(REP),"23,483","HEFFLEY, MARILYN",(REP),"23,062",,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"MECUM, SAMUEL M.",(DEM),"31,510","REINAKER, DENNIS",(REP),"36,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"ROSCIOLI, PAULA A.",(D/R),"32,947","BELTRAMI, ANTHONY",(D/R),"29,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"WOODRUFF, DWAYNE D.",(D/R),"183,623","LAZZARA, BETH",(D/R),"173,086","BORKOWSKI, EDWARD J.",(D/R),"166,988","MARIANI, ANTHONY",(D/R),"164,785","HENS-GRECO, KATHRYN M.",(DEM),"130,230","HERTZBERG, ALAN",(DEM),"121,708","FLAHERTY, TOM",(DEM),"105,480","MCCULLOUGH, PATRICIA A.",(REP),"91,381","CUSICK, DAN",(REP),"76,190","WISE, ROGER",(REP),"74,660",,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"GARHART, JOHN",(D/R),"49,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"GROFF, MEG",(DEM),"53,412","FINLEY, JEFFREY L.",(REP),"54,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,9th Judicial District (Cumberland County),"EBERT, M. L. SKIP",(D/R),"37,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"NAGLE, RONALD C.",(D/R),"56,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,16th Judicial District (Somerset County),"GEARY, GREG",(D/R),"13,295","KLEMENTIK, DAVID C.",(DEM),"10,299","SPANGLER, JERRY L.",(REP),"9,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"COOK, MARIA MUSTI",(D/R),"40,558","PRENDERGAST, KATHLEEN",(DEM),"18,415","ADAMS, JOSEPH C.",(REP),"30,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=14&ElectionType=G&IsActive=0,2005 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"YATRON, PAUL M.",(D/R),"46,749","BOCCABELLA, JOHN A.",(DEM),"27,505","CARROLL, ANNE L.",(REP),"26,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
