url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"DUBOW , ALICE BECK",(D/R),"184,254","GREEN-CEISLER , ELLEN",(D/R),"183,863","ERDOS , MICHAEL",(D/R),"176,795","CARPENTER , LINDA",(DEM),"170,842","EUBANKS , JOYCE",(REP),"38,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"TOTARO , DONALD R.",(D/R),"51,613","MECUM , SAMUEL M.",(DEM),"24,054","EAKIN , HEIDI F.",(DEM),"21,697","CODY , STEVE",(DEM),"20,195","KRAVITZ , KATHERINE B.",(DEM),"19,213","LONGO , LUCY",(DEM),"17,784","MILLER , MARGARET C.",(REP),"38,025","HACKMAN , CHRISTOPHER A.",(REP),"37,584","KNISELY , HOWARD F.",(REP),"37,511","REICH , JEFFREY J.",(REP),"37,208","WRIGHT , JEFFERY D.",(REP),"36,988",,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"MCCARTHY , MICHAEL E.",(D/R),"170,974","BUBASH , CATHLEEN",(D/R),"168,387","BIGLEY , KELLY EILEEN",(D/R),"165,079","MCVAY , JACK",(DEM),"140,362","KLEIN , ARNIE",(REP),"78,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"GIBBONS , DIANE",(D/R),"109,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,11th Judicial District (Luzerne County),"LUPAS , DAVID W.",(D/R),"46,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"LEVY-TATUM , JENNIFER W.",(DEM),"32,804","BORTNER , DAVID F.",(REP),"47,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,22nd Judicial District (Wayne County),"HAMILL , RAYMOND L.",(D/R),"9,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"ROWLEY , TIM",(DEM),"37,153","STANKO , RONALD C.",(REP),"25,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,25th Judicial District (Clinton County),"MILLER , CRAIG P.",(D/R),"5,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,28th Judicial District (Venango County),"BOYER , ROBERT L.",(D/R),"9,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,31st Judicial District (Lehigh County),"DANTOS , MARIA",(D/R),"34,507","VARRICCHIO , MICHELE A.",(D/R),"31,754","MCCARTHY , DANIEL K.",(DEM),"23,711","ANTHONY , JIM",(REP),"25,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"DALY , FRANK",(DEM),"42,957","FARRELL , MICHAEL T",(DEM),"40,457","BRENNAN , MARY ALICE",(REP),"60,158","MALLON , GREG",(REP),"56,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,33rd Judicial District (Armstrong County),"PANCHIK , JAMES J.",(DEM),"8,571","OWEN , JAMES H.",(REP),"7,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,36th Judicial District (Beaver County,"TESLA , KIM",(D/R),"26,332","KNAFELC , HARRY E.",(DEM),"20,074","WALKER , JOHN L.",(REP),"19,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,49th Judicial District (Centre County),"RUEST , PAMELA A.",(DEM),"15,931","GRINE , JONATHAN",(REP),"12,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,50th Judicial District (Butler County),"STREIB , KELLEY",(D/R),"26,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas,60th Judicial District (Pike County),"CHELAK , GREG",(D/R),"6,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=16&ElectionType=G&IsActive=0,2007 Municipal Election,Judge of the Court of Common Pleas (Retention),1st Judicial District (Philadelphia County),"BERNSTEIN , MARK I",,,"DI VITO , GARY F",,,"HERRON , JOHN W",,,"JONES , C DARNELL",,,"JOSEPH , BARBARA",,,"NEW , SHELLEY ROBINS",,,"ROBINSON , ROSALYN K",,,"ROGERS , PETER F",,,"SARMINA , M TERESA",,,"SUMMERS , EDWARD R",,,,,,"91,586","28,876","81,321","28,779","87,686","29,000","80,966","28,615","92,194","26,525","79,985","27,446","88,606","27,650","78,214","28,293","88,565","28,119","81,155","27,854"
