url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"COLEMAN, ROBERT",(D/R),"99,760","THOMPSON, DIANE",(D/R),"98,444","ROCA, ANGELES",(D/R),"95,799","WOELPPER, DONNA",(D/R),"95,328","ANDERS, DAN",(D/R),"95,321","BELOFF, ADAM",(D/R),"94,688","COVINGTON, ROXANNE",(DEM),"81,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"ZITO, LEONARD",(D/R),"27,651","KOURY, MICHAEL J",(D/R),"26,280","HOLLENBACH, BARBARA L",(DEM),"21,355","DALLY, CRAIG A",(REP),"21,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"WALKO, DON",(DEM),"98,488","IGNELZI, PHIL",(D/R),"138,274","EVASHAVIK DILUCENTE, SUSAN",(D/R),"135,991","KLEIN, ARNIE",(D/R),"133,129","WILLIAMS, JOE",(DEM),"110,665","ZAPPALA PECK, MICHELE",(REP),"81,442","BICKET, ALEX",(REP),"71,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"BRABENDER, DANIEL",(D/R),"43,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"GILMAN, GARY",(D/R),"88,571","BALDI, ROBERT O",(D/R),"80,604","BATEMAN, WALLACE H. SKIP",(REP),"55,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,9th Judicial District (Cumberland County),"MASLAND, ALBERT H",(D/R),"30,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,10th Judicial District (Westmoreland County),"SCHERER, CHRIS",(D/R),"47,652","DEFAZIO, MEAGAN BILIK",(DEM),"31,842","BONONI, MICHELE G",(REP),"33,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,11th Judicial District (Luzerne County),"AMESBURY, WILLIAM H",(D/R),"38,696","GARTLEY, TINA POLACHEK",(DEM),"36,779","HUGHES, RICHARD",(REP),"31,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"CURCILLO, DEBORAH ESSIS",(D/R),"34,826","MONTGOMERY, BRIDGET E",(DEM),"19,249","SERRATELLI, LORI K",(DEM),"18,688","DOWLING, ANDREW H",(REP),"25,608","COATES, BERNIE",(REP),"24,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,14th Judicial District (Fayette County),"VERNON, NANCY D",(DEM),"13,037","DEHAAS, ERNEST P",(REP),"10,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
