url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,votes_yes14,votes_no14,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16,candidate17,votes_yes17,votes_no17,candidate18,votes_yes18,votes_no18,candidate19,votes_yes19,votes_no19
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"COYLE, ANNE MARIE B",(REP),"35,800","POWELL, KENNETH J",(REP),"29,352","VIGILANTE, TED J",(REP),"25,766","DIVERGILIS, JIM",(REP),"24,824","MCLAUGHLIN, MARIA",(R/D),"139,016","EHRLICH, CHARLES",(R/D),"135,678","MCDERMOTT, BARBARA A",(DEM),"122,833","KENNEDY, SEAN",(DEM),"121,094","FOGLIETTA, ANGELO J",(DEM),"119,296","NICHOLS, CAROLYN H",(DEM),"118,207","ANHALT, DIANA",(DEM),"115,191","JOHNSON, VINCENT L",(DEM),"114,049","NOCELLA, THOMAS M",(DEM),"113,190","WRIGHT, EDWARD C",(DEM),"112,817","IRVINE, JONATHAN Q",(DEM),"111,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"BROWN, LEONARD G",(R/D),"43,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"MARMO, MIKE",(R/D),"175,089","BICKET, ALEXANDER P",(R/D),"154,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"MCMASTER, JAMES M",(R/D),"96,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,9th Judicial District (Cumberland County),"PECK, CHRISTYLEE",(R/D),"24,569","PLACEY, THOMAS A",(REP),"21,196","STONE, ELIZABETH B",(DEM),"13,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,11th Judicial District (Luzerne County),"ROGERS, JENNIFER",(R/D),"41,740","PIERANTONI, FRED A",(R/D),"39,912","SKLAROSKY, JOE",(R/D),"39,570","VOUGH, MICHAEL T",(R/D),"35,762","HUGHES, DICK",(REP),"35,021","GELB, LESA",(R/D),"34,786","HANLON MIRABITO, MOLLY",(DEM),"34,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,13th Judicial District (Greene County),"TOOTHMAN, FARLEY",(R/D),"6,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"WHEATCRAFT, ANN MARIE",(REP),"43,799","TUNNELL, MARK",(REP),"41,837","MADDOX, FREDDA DENISE",(DEM),"29,088","PURL, TOM",(DEM),"27,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,17th Judicial District (Snyder & Union Counties),"HUDOCK, MICHAEL T",(R/D),"9,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"TREBILCOCK, CRAIG",(R/D),"34,281","STRONG, ANDREA MARCECA",(R/D),"32,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
