url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,candidate10,votes_yes10,votes_no10,candidate11,votes_yes11,votes_no11,candidate12,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,candidate14,votes_yes14,votes_no14
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,1st Judicial District (Philadelphia County),"COYLE, ANNE MARIE",(R/D),"91,924","POWELL, KENNETH J JR",(REP),"19,092","MCCAFFERY, DANIEL D",(DEM),"79,742","CAMPBELL, GIOVANNI",(DEM),"78,373","LANE, TIMIKA",(DEM),"77,646","O'KEEFE, J. SCOTT",(DEM),"77,148","FERNANDES, JOE",(DEM),"76,121","STREET, SIERRA THOMAS",(DEM),"73,633","MILLER-MILLER, STEPHEN",(LIB),"7,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"SPAHN, MERRILL M JR",(R/D),"46,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"SLETVOLD, JENNIFER",(R/D),"31,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,5th Judicial District (Allegheny County),"WARD, BILL",(REP),"68,932","MURRAY, PJ",(REP),"59,373","TRANQUILLI, MARK V",(R/D),"117,167","COZZA, PAUL E",(R/D),"108,740","SATLER, JENNIFER",(DEM),"98,131","BUSH, ELEANOR",(DEM),"97,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"SAMBROAK, BOB",(REP),"31,031","KELLY, BILL JR",(DEM),"23,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,10th Judicial District (Westmoreland County),"DEFAZIO, MEAGAN BILIK",(R/D),"50,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"TULLY, BILL",(REP),"22,750","GINGRICH CORNICK, ANNE",(DEM),"17,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,14th Judicial District (Fayette County),"CORDARO, LINDA",(R/D),"12,654","GEORGE, JOSEPH JR",(R/D),"11,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"CARMODY, PATRICK",(REP),"41,191","SOMMER, JEFFREY R",(REP),"36,819","MALLOY-GOOD, JULIA",(DEM),"34,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=36&ElectionType=G&IsActive=0,2013 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"PLATTS, TODD",(REP),"28,964","FLANNELLY, MICHAEL W",(DEM),"20,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
