url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,candidate14,votes_yes14,votes_no14,candidate15,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"SPONAUGLE, THOMAS BOYD",(D/R),"59,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"MURRAY, SAMUEL P",(DEM),"20,010","SCOMILLIO, VICTOR E",(REP),"18,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,4th Judicial District (Tioga County),"WHEELER, GEORGE WINSLOW",(D/R),"7,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"WALSH, JOSEPH M III",(D/R),"33,568","CONNELLY, ERIN COLLEEN",(DEM),"23,641","MEAD, JOHN J",(REP),"24,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"MCGUFFIN , BRIAN T",(D/R),"93,166","MCHUGH, RAYMOND F",(D/R),"100,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,8th Judicial District (Northumberland County),"ROSINI, PAIGE",(D/R),"12,591","JONES, HUGH ALAN",(D/R),"11,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,9th Judicial District (Cumberland County),"BREWBAKER, JESSICA E",(D/R),"35,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,10th Judicial District (Westmoreland County),"MEARS, SCOTT O JR.",(D/R),"54,601","SMAIL, HARRY F JR.",(D/R),"45,370","REGOLI, DAVID A",(DEM),"37,806","KRIEGER, TIMOTHY A",(REP),"37,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,13th Judicial District (Greene County),"DAYICH, LOUIS MARKO",(DEM),"4,550","GRIMES, JEFFRY",(REP),"4,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"MALLOY-GOOD, JULIA",(DEM),"39,828","ROYER, ALLISON BELL",(REP),"44,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,16th Judicial District (Somerset County),"BITTNER, SCOTT P",(D/R),"16,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"FLANNELLY, MICHAEL W",(D/R),"44,934","PRENDERGAST, KATHLEEN J",(DEM),"24,790","MENGES, N CHRISTOPHER",(REP),"31,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"BARRETT, PATRICK T",(D/R),"50,153","LILLIS, JAMES M",(D/R),"48,783","DIMITRIOU GEISHAUSER, ELENI",(D/R),"48,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"DEMARCO, LAWRENCE",(DEM),"46,825","ABEL, LAWRENCE W",(DEM),"45,737","SCANLON, ANTHONY D",(D/R),"102,396","PILEGGI, DOMINIC F.",(REP),"60,312","AMOROSO, MARGARET J.",(REP),"57,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,34th Judicial District (Susquehanna County),"LEGG, JASON J",(D/R),"7,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,36th Judicial District (Beaver County,"FOUSE, DALE M",(D/R),"32,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"CLIFFORD, DANIEL J. III",(DEM),"82,256","EISENBERG, TODD D.",(DEM),"81,735","TAYLOR-SMITH, E. NATASHA",(DEM),"75,150","FERMAN, RISA VETRI",(REP),"84,369","CIRILLO, GREGORY F",(REP),"71,208","HECKMAN, STEPHEN",(REP),"67,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,39th Judicial District (Franklin & Fulton Counties),"SPONSELLER, TODD MICHAEL",(D/R),"19,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,42nd Judicial District (Bradford County),"WILLIAMS, EVAN S III",(D/R),"10,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,45th Judicial District (Lackawanna County),"JARBOLA, ANDREW J III",(D/R),"34,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,47th Judicial District (Cambria County),"BERNSTEIN, TAMARA",(D/R),"25,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,49th Judicial District (Centre County),"OLIVER, KATHERINE",(DEM),"14,800","MCGLAUGHLIN, RONALD S",(REP),"13,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,51st Judicial District (Adams County),"TEETER, MATTHEW E.",(DEM),"6,566","SIMPSON, CHRISTINA M",(D/R),"11,052","WAGNER, SHAWN CHRISTOPHER",(REP),"11,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,53rd Judicial District (Lawrence County),"AMODIE, MELISSA A",(DEM),"9,086","ACKER, DAVID H",(REP),"10,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas,58th Judicial District (Mifflin County),"GINGRICH, AARON L.",(D/R),"8,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
