url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,candidate5,votes_yes5,votes_no5,candidate6,votes_yes6,votes_no6,party5,votes5,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"CONRAD, JEFFREY ALLEN",(D/R),"65,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"TRAUGER, JEFFREY G",(D/R),"124,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,10th Judicial District (Westmoreland County),"MONZO, LISA",(DEM),"29,026","SILVIS, JAMES PHILIP",(REP),"34,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"SERRATELLI, LORI K",(DEM),"22,627","MARSICO, EDWARD M JR",(D/R),"39,964","MORRIS, ROYCE L.",(D/R),"37,823","MCNALLY, JOHN J III",(REP),"24,292",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,16th Judicial District (Somerset County),"RULLO, DANIEL W",(D/R),"12,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"THOMPSON, SANDRA",(DEM),"20,577","PRENDERGAST, KATHLEEN J.",(D/R),"52,091","VEDDER, CLYDE W",(D/R),"48,249","KRAFT, AMBER ANSTINE",(REP),"34,462",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,22nd Judicial District (Wayne County),"EDWARDS, JANINE",(D/R),"6,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"BOYD, TINA",(DEM),"31,128","NEVIUS, JOHN BENJAMIN",(REP),"31,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,24th Judicial District (Blair County),"BERNARD, JACKIE L",(D/R),"17,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=59&ElectionType=G&IsActive=0,2017 Municipal Election,Judge of the Court of Common Pleas,27th Judicial District (Washington County),"NEUMAN, BRANDON P",(D/R),"28,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
