url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,candidate9,votes_yes9,votes_no9,candidate10,votes_yes10,votes_no10
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"PAULSON, GREG",(DEM),"32,699","STEDMAN, CRAIG WILLIAM",(REP),"54,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"MORGANELLI, JOHN M",(D/R),"43,679","KASSIS, ABRAHAM",(DEM),"26,515","SCOMILLIO, VICTOR",(REP),"25,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"RIDGE, DAVID G",(D/R),"39,259","CONNELLY, ERIN COLLEEN",(DEM),"30,383","SMITH, EDWIN W",(REP),"27,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"LILLER, CHARISSA J",(DEM),"78,290","YEAGER, JORDAN B",(DEM),"77,855","VANDERKAM, JESSICA L",(DEM),"74,451","BOWMAN, DENISE M.",(REP),"77,594","DEON, GRACE",(REP),"74,382","TOADVINE, ALLEN W",(REP),"70,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,9th Judicial District (Cumberland County),"GRAYSON, LISA",(DEM),"19,044","SMITH, MATTHEW PETER",(D/R),"35,980","HYAMS, CARRIE E",(REP),"28,644","PICKFORD, SUSAN K",(IND),"14,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,10th Judicial District (Westmoreland County),"RAFFERTY, JESSICA L",(DEM),"39,632","STEWART, MICHAEL J. II",(D/R),"55,253","WALSH, JUSTIN M",(REP),"43,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"SONDERGAARD, ANALISA",(DEM),"74,614","BINDER, BRET",(DEM),"69,075","CARDAMONE, ANDREA M",(REP),"63,750","GAZA, CHARLES ANDREW",(REP),"58,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,18th Judicial District (Clarion County),"SEIDLE-PATTON, SARA J",(D/R),"7,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,19th Judicial District (York County),"THOMPSON, SANDRA I",(DEM),"23,700","MENGES, MATTHEW D",(REP),"45,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,27th Judicial District (Washington County),"MCDONALD-KEMP, TRACI",(D/R),"39,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,29th Judicial District (Lycoming County),"TIRA, RYAN",(D/R),"24,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,31st Judicial District (Lehigh County),"MARKS, ANNA-KRISTIE MORFFI",(D/R),"50,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=72&ElectionType=G&IsActive=0,2019 Municipal Election ,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"RASHID, NUSRAT",(DEM),"87,200","KLEIN, STEPHANIE H",(DEM),"90,340","ECKEL, KELLY",(DEM),"84,164","LOWE, RICHARD H",(DEM),"82,037","GERBER, STEVEN K",(REP),"72,219","DAWSON, GEORGE B",(REP),"72,721","ROBERTS, WENDY B",(REP),"72,073","NAUGHTON BECK, MARY ELIZABETH",(REP),"71,637",,,,,,,,,,,,,,,,,,,,,,
