url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,candidate16,party16,votes16,candidate17,party17,votes17,candidate18,party18,votes18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"MURPHY, JOANNE",(D/R),"86,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"PICCININI, MARSHALL",(D/R),"54,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"THOMAS-SMITH, TIFFANY MICHELLE",(DEM),"90,521","CORR, STEPHEN A",(REP),"99,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,9th Judicial District (Cumberland County),"SIBERT, MICHELLE",(D/R),"38,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,11th Judicial District (Luzerne County),"SALAVANTIS, STEFANIE",(D/R),"42,571","KOKURA KRAVITZ, ALEXANDRA",(DEM),"29,151","TOOHIL, TARAH",(REP),"32,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"WILLIAMS, LA TASHA C",(DEM),"26,781","ENGLE, JEFF",(REP),"33,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,13th Judicial District (Greene County),"GRIMES, JEFF",(D/R),"7,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"ROVITO, ALITA",(DEM),"74,147","VERWEY, TONY",(DEM),"66,977","MINCARELLI, LOU",(REP),"63,604","REDMOND, PJ",(REP),"63,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,17th Judicial District (Snyder & Union Counties),"KERSTETTER, BRIAN L",(DEM),"7,274","HACKENBERG, LORI R",(REP),"10,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"SMITH, SUZANNE S",(DEM),"32,188","STAMBAUGH, STEVE",(D/R),"44,812","GOTHIE, JOE",(REP),"51,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,21st Judicial District (Schuylkill County),"HALE, CHRISTINA E",(D/R),"20,788","CONVILLE, JAMES",(DEM),"10,838","HOBBS, CHRIS",(REP),"19,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,22nd Judicial District (Wayne County),"MEAGHER, MATTHEW",(D/R),"9,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"BOYD, TINA",(D/R),"52,017","GAVIN, JAMES",(D/R),"44,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
