url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"MAISANO, KAREN LYNN",(DEM),"58,623","BROWN, TODD EVERETT",(REP),"65,742","PARSONS, CHRISTINA MARIE",(REP),"65,497","MCLAUGHLIN, SHAWN P.",(REP),"64,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"PANELLA, BRIAN",(DEM),"38,222","AAROE, NANCY",(REP),"32,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"SALA, PETER J",(DEM),"35,341","MIKOVCH, ERIC JAMES",(REP),"25,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"WEINTRAUB, MATTHEW D",(D/R),"172,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,8th Judicial District (Northumberland County),"TOOMEY, MICHAEL P",(D/R),"16,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"WILLIAMS, LA TASHA CHERENE",(DEM),"31,036","POWELL, COURTNEY KISHEL",(REP),"33,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,14th Judicial District (Fayette County),"MEHALOV, MARK M",(D/R),"23,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"BLACK, SARAH B",(DEM),"88,667","RYAN, DEBORAH S",(DEM),"90,286","MADDOX, FREDDA D",(DEM),"84,337","FORZATO, NICOLE R",(DEM),"85,929","MCCABE, THOMAS",(DEM),"84,709","MINCARELLI, LOUIS A",(REP),"65,904","REDMOND, PJ",(REP),"64,509","RONGAUS, ANDREW M",(REP),"62,566","KOHLER, DONALD F JR",(REP),"63,080","BLACK, DAVID L",(REP),"62,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,17th Judicial District (Snyder & Union Counties),"PIECUCH, MICHAEL",(D/R),"13,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"MARGETAS, KELLEY LYNN",(REP),"65,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,20th Judicial District (Huntingdon County),"ZANIC, GEORGE NICHOLAS",(D/R),"8,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,21st Judicial District (Schuylkill County),"OPAKE, MICHAEL A",(DEM),"14,103","BURKE, WILLIAM L",(REP),"19,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"SCHEIDT, JILL",(D/R),"57,210","BODOR, JUSTIN D",(D/R),"49,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,24th Judicial District (Blair County),"CONSIGLIO, DAVID B",(D/R),"17,681","MILLER, FRED B",(D/R),"17,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,26th Judicial District (Columbia & Montour Counties),"KNECHT, RICHARD W.",(D/R),"16,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,28th Judicial District (Venango County),"KIRTLAND, MATTHEW T",(D/R),"9,668","FLEEGER, JUSTIN S",(D/R),"7,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,29th Judicial District (Lycoming County),"PULIZZI, ANDREA",(DEM),"6,832","CARLUCCI, WILLIAM P",(D/R),"12,060","GARDNER, RYAN C",(REP),"17,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"BERRY, RACHEL EZZELL",(DEM),"89,881","SUTPHIN, DAWN GETTY",(REP),"60,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"RONCA, DANIEL G",(DEM),"160,400","ROSENBAUM, CHARLES",(REP),"87,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,45th Judicial District (Lackawanna County),"RUGGIERO, FRANK J",(D/R),"42,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,47th Judicial District (Cambria County),"SLOAN, TIMOTHY J",(DEM),"14,828","CARBONARA, MICHAEL A",(D/R),"16,791","FORDHAM, FORREST B III",(REP),"19,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
